,type_of_advice_or_caution,category,text,screenname
365,A tornado sighting/touchdown has been reported,Caution and advice," @ZachNews: Breaking Weather News!!!: Weather Channel; Mile wide tornado on the ground near Ozark, AR. & Caulksville, AR. Get To Safet ...",MosaicJoy
366,A tornado sighting/touchdown has been reported,Caution and advice, @TWCBreaking: Tornado reported on the observation at Dallas' Love Field.,StephenWRhodes
367,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,Tornado Warning for Mississippi County in AR until 7:30pm. Alert detail : http://bit.ly/jF3n7v #ARWX,Region8News
368,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice, @TWCBreaking: Line of storms with #tornado warnings moving through western KY.  #Tornado warning for #Paducah http://wxch.nl/iOgYdu,DAWNOFNEWDAYS
369,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,Another Tornado is on the way to Joplin Mo. The Gov. Gave out a warning http://wxch.nl/mGgs3M,TheNewsWatch
370,A siren has been heard,Caution and advice, @BreakingNews: City of Dallas activates sirens after tornado warning. Asks residents to 'seek shelter and monitor the news' http://on ...,KTDallas
371,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice," @spann: Tornado warning for Oxford, MS and the Ole Miss campus... #mswx",NicJam25
372,A tornado sighting/touchdown has been reported,Caution and advice," @TWCBreaking: TAKE COVER NOW in Salem, SD.  Possible rain-wrapped #tornado headed toward you now!!!!",TXTrendyChick
373,A tornado sighting/touchdown has been reported,Caution and advice, @nbc15_madison: CONFIRMED EF1 TORNADO LAST NIGHT from 7:41pm 2.5 miles WSW of Verona to 3 miles NE of McFarland at 8:02pm. Storm path ...,313C7
374,Other,Caution and advice,So Word ON The Street Its About To Be A Tornado ...,CrownHolderQua
375,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,"TORNADO WATCH in effect  Bradford County until 10 PM, Thursday, May 26th. Stay tuned to local media, NOAA Weather Radio, etc.",SayreEOC
376,A siren has been heard,Caution and advice, @DavidLimbaugh: Unbelievable.  @toddstarnes: Tornado sirens going off in Joplin.,walt_gilbert
377,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice," @severestudios: Tornado Warning for Muskogee, Okmulgee, Tulsa and Wagoner County in OK until 9:15pm CDT. #okwx",viequesbound
378,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,Taking shelter for tornado warning.. Yeah missouri! #homesick #tothemax,allybkc
379,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice," @severestudios: Tornado Warning for Lake, McCook, and Minnehaha County in SD until 8:30pm CDT. #sdwx",mrkwx
380,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,Tornado warning? #notcool,marisssaa_
381,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice," @Weatherbird: The storms have passed here, but there are still tornado warnings in eastern Arkansas, southeast Missouri and western T ...",GinaM121
382,Other,Caution and advice,"#Tornado watches issued until 8:00am for portions of #Missouri, #Illinois, and #Iowa. http://www.spc.noaa.gov/products/watch/ww0366.html",CajunTechie
383,Other,Caution and advice," @viequesbound: / @TWCBreaking: A number of storms in central #Indiana, including near Indianapolis, with #tornado warnings.  Radar: h ...",JanetVanderhoof
384,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice, @KellyKCTV5: benton under tornado warning until 12:45,ArrowheadAddict
385,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,TORNADO WARNING issued for parts of OSBORNE; ROOKS counties in KS until 06:45 PM CT - http://wx4.me/KGIDT0038,Wx4Me_Sandbox
386,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice, @wx8: Tornado warning for Kzoo county.  #wmiwx,AviTV8
387,A tornado sighting/touchdown has been reported,Caution and advice,See the destruction the Tornado's are recking on the east and mid-west we can send out our prayers. The most... http://fb.me/12orPwnTv,wgwesley
388,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,#Detroit Tornado watch issued for Metro Detroit http://bit.ly/kPFdv9,Detroitinformer
389,Other,Caution and advice,WeatherAction LongRange Forecast of ~23-24 MAY EXTRA TOP RED WARNING and DANGEROUIS TORNADO SWARM http://t.co/QRBnvaK via @twitpic len holli,lenholliday
390,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,THERE'S A TORNADO WARNING FOR OAKLAND,BethanyAmyre
391,Other,Caution and advice," @weatherchannel: #Tornado watch until 8pm for N. IN, S. MI and NW OH until 8pm EDT.",Tourpib
392,Other,Caution and advice,The NWS has issued a TORNADO WATCH for Tishomingo County until May 25 at 10:00PM CDT  http://alerts.weather.gov/cap/wwaatmget.php?x=MSC141,TishomingoSO
393,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,"NO tornado warnings in effect at this time, but at least 15 active severe thunderstorm warnings across... http://fb.me/CtgC790o",TheStormTracker
394,Other,Caution and advice," @TWCBreaking: SECOND #tornado just reported in north Springfield, MA!  TAKE COVER in Ludlow, and along U.S. 20 corridor!  http://wxch ...",colaface
395,A tornado sighting/touchdown has been reported,Caution and advice, @Flyingright1: Fox reporting tornado spotted on the ground in Dallas near Highland Park. #tcot #Texas,BDGRIM
396,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,Tornado Watch Issued: The National Weather Service has issued a tornado watch until 8 p.m. Thursday for much of... http://dlvr.it/T67MW,burlingtonbuzz
397,A tornado sighting/touchdown has been reported,Caution and advice," @iAM_ALfonso: Leverett, MA (Franklin) field off Rt 63. Units confirming a tornado has touched down. @WWLP seriously?! again?! #westernma",jgarvey
398,A tornado sighting/touchdown has been reported,Caution and advice," @4029news: The big tornado will pass to the south of Ozark. Not just Doppler-indicated, but spotter-confirmed.",Cort9999
399,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice," @paulrosania: Tornado watch in Boston. Nature, please respect my entrepreneurial right to uninterrupted internet access.",Nikluk
400,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,"TORNADO WARNING in effect until 6:30pm EDT in Indiana for Greene, Monroe,and Owen Counties. If you're in those... http://fb.me/ZZyg5b0V",1043theparty
401,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,Tornado Warning for Tippecanoe and Warren County in IN until 10:00pm EDT. #inwx,severewarn
402,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice, @twister_tracker: TORNADO WARNING: Alfalfa; Major (Oklahoma)  Expires: 05/24/2011 04:45PM (CDT) http://bit.ly/kX9m5x #tornado #okwx # ...,MyBorderCollie
403,A tornado sighting/touchdown has been reported,Caution and advice," @TWCBreaking: Those in Guthrie, OK need to TAKE COVER NOW.  LARGE, VIOLENT #TORNADO HEADED TOWARD THAT AREA!!!  PLEASE RETWEET!!!",Selby84
404,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,"Tornado watch issued for New York City, surrounding counties - NBC NY http://bit.ly/k8Ygf1",adhieyz
405,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,Be on the lookout for strong to severe t'storms this evening.  Tornado Watch in effect until 8PM.  Andy & Julie will have updates on TV 10.,DarrinRockcole
406,Other,Caution and advice, @tornadochasers: #weather SPC MD 1014: MD 1014 CONCERNING SEVERE THUNDERSTORM WATCH 394... FOR NRN IL...NRN IND...SRN... http://1.usa ...,ogr8t
407,A tornado sighting/touchdown has been reported,Caution and advice," @JimCantore: TWO HOOKS ONE NEAR DALLAS AND ONE NEAR ONE WEST OF ARLINGTON, TX #TXWX #TORNADO",juliannamkh
408,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice, @TWCBreaking: Power flashes reported in the Dallas area.  New warning indicates possible tornado near University Park.,TheVoiceofBrian
409,Other,Caution and advice,Tornado Watch...,rbrookens42
410,Other,Caution and advice," @andersoncooper: In many destroyed areas here in #Joplin, there is a terrible silence broken only by the sound of rain and wind",MSUWineGuy
411,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice, CBSAtlBreaking: Tornado Warning For Union County In North Central Georgia: CBSAtlBreaking: Tornado Warning Fo... http://bit.ly/iswyFK,cbsatl
412,Other,Caution and advice,Just heard about the tornado in Mass. Hope everyone is ok. My heart and thoughts are with you xx,Megshmee
413,A tornado sighting/touchdown has been reported,Caution and advice, @dallas_news: Weather observer at Dallas Love Field has sighted a tornado in the storm approaching the city from the west.,PreachTwon
414,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,TORNADO WARNING issued for parts of UNION county in GA until 05:45 PM ET - http://wx4.me/KFFCT0060,Wx4Me_Sandbox
415,A tornado sighting/touchdown has been reported,Caution and advice, @NBCDFW: Spotters and radar see tornado in Highland Park. Take Cover.,tx_trisha
416,Other,Caution and advice,"whoa   @7News *Tornado *WATCH for much of MA, southern NH until 8pm. Conditions are favorable for severe t-storms with tornadoes later",jackcahill
417,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,"Event cancelled. Tornado Watch from 5/24/2011 9:12 PM to 10:00 PM EDT for Wilkes County, Ashe County, Watauga County. http://bit.ly/kTfil7",WataugaRoads
418,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice," @TWCBreaking: Tornado warning for #Joplin, Mo.!! Radar and warning info: http://wxch.nl/mGgs3M",JenniferKokinda
419,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,"At 08:33 PM NWS HUN has issued a Tornado Watch for Colbert, Franklin, Lauderdale, Lawrence & Limestone Counties until 04:00 AM.",ewarn
420,A tornado sighting/touchdown has been reported,Caution and advice, @JimCantore: Joplin just upgraded to EF5.  Threat 11pm or later here. #joplin # mowx | crap!,nika7k
421,Other,Caution and advice," @severestudios: People in and around McCrory, ARK take cover now!  (5:04pm)  #arwx #tornado #outbreak @NoCrybabyDoGs",inquarters14
422,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,TORNADO WARNING FOR SOUTH CENTRAL LA SALLE COUNTY & LIVINGSTON COUNTY... UNTIL 730 PM *** SEVERE THUNDERSTORM... http://fb.me/Mc2kjJuW,965TheWolf
423,Other,Caution and advice,Quick Prayer Tornado Watches today!! ESP Indiana ... It's getting  closer n closer,_BrittGee_
424,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,Tornado warning an hour ago and now I'm laying out in the sun #ilovemissouriweather,MelJesse
425,Other,Caution and advice," @BreakingNews: Tornado watch issued for New York City, surrounding counties - NBC NY http://bit.ly/iE1u3J",slow_ro
426,Other,Caution and advice,Tornado Watch Likely Extended: A NEW TORNADO WATCH WILL BE ISSUED SOON FOR MUCH OF CNTRL INDIANA. SURFACE MAP SH... http://bit.ly/l2CfzP,WISH_Forecast8
427,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,/ @twister_tracker: TORNADO @WARNING: #Benton; Lafa... (#Mississippi)  Expires: 05/25/2011 10:15PM (CDT) http://bit.ly/leZsP6 #tornado #mswx,viequesbound
428,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice," @max247:  @livewxradar: *** TORNADO WATCH *** until 8PM EDT for New York, and Vermont for TORNADOES, 2: Hail 70mph WInds.... http:/ ...",GinaM121
429,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice, @OKWXTracker: TORNADO WARNING FOR FOR CUSTER & ROGER MILLS COUNTIES IN OKLAHOMA UNTIL 08:45 PM. http://tinyurl.com/23uk4o5 #okwx #fb,recklessintent8
430,Other,Caution and advice,Svr T-Storm Warning SE Otero & NE Hudpset CO's TX till 6:45 PM. 60+ mph wind gusts psbl. http://1.usa.gov/mlVrM7 #nmwx #txwx #nmem,KE5WLM
431,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice," @KristinHanes: Not again. Ugh. @USABreakingNews JUST IN- National Weather Service issues tornado warning for Joplin, Missouri.",DonWallaceK106
432,Other,Caution and advice, @mgmcampbell: Did your home sustain tornado dmg?  617-521-7777 Insurance experts on standby. Be warned wait is long #matornado #westernma,mattfeato
433,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice, @JayPraterCBM Tornado Warning until 08:15 PM CDT issued for Texas-OKhttp://bit.ly/7B93xm,KAKEweather
434,A tornado sighting/touchdown has been reported,Caution and advice," @HarderRambles:  @cnnbrk Weather spotters report #tornado moving toward #Joplin, Missouri, at 45 mph http://on.cnn.com/k1ZN2b",25newsgal
435,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice, @ce_pro: Vivint Delivers Tornado Alerts to Customers http://goo.gl/fb/S6OnV #avtweeps #avnews,CraigMacCormack
436,A tornado sighting/touchdown has been reported,Caution and advice," @TWCBreaking: #Tornado reported 4 miles east of Heyworth, IL (south of Bloomington) moving northeast. Radar: http://wxch.nl/mrOVSN",ladystryperfan
437,A tornado/thunderstorm warning has been issued or has been lifted,Caution and advice,Tornado Watch exp. 10PM in #mswx ALCORN BENTON COAHOMA DESOTO LAFAYETTE MARSHALL PANOLA PRENTISS QUITMAN TATE TIPPAH TISHOMINGO TUNICA UNION,weather_tami
