,choose_one,text_no_rt,user
1041,Personal only,Right on Eric Cantor!  The reason we have a huge budget deficit is all our crazy spending on tornado relief., 
1042,Personal only,Thinking of everyone who is hurting right now because of the tornado. You're not alone- praying for you!, 
1043,Informative (Indirect),Just stop!!! :( RT: @cnnbrk: Joplin Missouri where at least 124 died Sunday under #tornado watch http://t.co/hEbTeMu, 
1044,Personal only,come on @weatherninja @KATV_Weather @Paul_The_Wxguru.  Seal the freakin deal!!!!  #arwx #mowx #tornado, 
1045,Informative (Direct),@weathertrek Possible #tornado on the ground S of Agnes #Texas. Springtown ** SEEK SHELTER NOW! ** #TXWX Follow 4 up ..., 
1046,Informative (Direct or Indirect),Tornado warning in Dallas/DFW- everyone stay safe tonight, 
1047,Personal only,"LORD have mercy on ""Tornado Alley"".", 
1048,Personal only,Cantor should be forced to fucking resign from congress for holding tornado aid hostage in way convict Tom DeLay even would condemn. #p2, 
1049,Personal only,California's weather sunny and rainy as I remembered. Oklahoma's thundstorm tornado snow sleet hail and a little sunny. =), 
1050,Informative (Direct or Indirect),So basically the month of May should be one ginormous tornado warning in Oklahoma., 
1051,Personal only,My thoughts are with the tornado victims in Missouri. Any Remax agents there with a need please contact me!, 
1052,Other,Tornado safety tips. http://1.usa.gov/kGm2wO, 
1053,Personal only,The tornado #Ddubbed&lt;-- I'm LITERALLY LMAO @ this one!!, 
1054,Personal only,So sick of tornadoes.. since we (shamefully) aren't spending $ on NASA anymore maybe we could use it 2 develop a tornado defense mechanism., 
1055,Personal only,@MyTrainerBob Tornado outbreak in Oklahoma screwed up ANY chance of watching The Biggest Loser's Finale! UUUUUUGH!!!, 
1056,Informative (Direct),Tornado sirens all around. Not good!!!!, 
1057,Informative (Direct or Indirect),arlington denton ft. worth gainsville TX tornado warnings seek shelter immediately, 
1058,Informative (Indirect),Watching the news.... that sucks for the people that went through that tornado.., 
1059,Personal only,"LORD have mercy on """"Tornado Alley"""".", 
1060,Other,Eric Cantor says no aid to #joplin until budget cuts are made. Not fair & major #fail. Pls RT & trend., 
1061,Personal only,@whoremoanss_ Tornado warning. be careful dorothy., 
1062,Informative (Direct or Indirect),Tornado Warning for the northern parts of Ft. Worth TX., 
1063,Informative (Direct or Indirect),Tornado Warning for the northern parts of Ft. Worth TX., 
1064,Informative (Indirect),Have tornado pics? Upload them to our website for all to see here. http://bit.ly/mhklvz, 
1065,Personal only,Severe thunderstorm...tornado warning...the weather gotta roll with the punches, 
1066,Informative (Direct or Indirect),another tornado warning for #Joplin, 
1067,Personal only,please pray for the tornado victims.. PLEASE.., 
1068,Personal only,Whilst shooting the tornado damage on large format I got a 'SUP PLAYA' from a pedestrian.  +50 street cred.  #whatup, 
1069,Informative (Direct or Indirect),TORNADO SIRENS, 
1070,Informative (Direct),DONT FORGET TO BRING CANNED FOOD AND NONPERISHABLES TO SCHOOL THIS WEEK FOR TORNADO VICTIMS! #helpingha ..., 
1071,Informative (Direct or Indirect),First Baptist Church in Piedmont opening up as shelter...please help get word out! #okwx, 
1072,Informative (Direct or Indirect),#Joplin #severe threat accelerated!    2 hours from now.   RIGHT NOW Damaging winds and hail appear to be biggest threat., 
1073,Informative (Indirect),Tornado warning for north Dallas., 
1074,Personal only,@NayLittle u bac in STL I jus seen some tornado talk on the news RUN for it!!!!, 
1075,Informative (Direct or Indirect),Everybody in Dallas find ya safe places. Tornado IS ON THE GROUND at 40 mph. Be safe., 
1076,Informative (Indirect),The Muse Oklahoma Tornado Outbreak May 242011 http://bit.ly/kourJb #dripusa #tcot #tlot, 
1077,Personal only,@KaraChicaGo #tornado in OK!?, 
1078,Informative (Indirect),The news people just came on the radio talking bout a tornado warning ! FUCK no!, 
1079,Informative (Indirect),Joplin Missouri where at least 124 died Sunday under #tornado watch http://on.cnn.com/k1ZN2b, 
1080,Informative (Indirect),tornado warning for Payne and Noble coutnies OK. Storm has history of large destructive tornado., 
1081,Informative (Direct),AHHH I HEAR TORNADO SIRENS!!!, 
1082,Informative (Direct or Indirect),@debdobson And I also see severe t-storms and a tornado warning in central Kansas tonight. :(, 
1083,Personal only,No more tornado - time for braums ice cream - line is packed, 
1084,Informative (Indirect),OH CRAP - here comes the storm. David Finfrock just indicated the path of a tornado heading right over Frisco. Listening for sirens..., 
1085,Personal only,Drunk tornado watching....Jk twistedddddd, 
1086,Informative (Direct or Indirect),Tornado reported in Denton County Texas near I-35 W and FM 407., 
1087,Informative (Direct),An F4 Tornado was just on the other side of the highway from me. Had it lasted another 10 seconds I might not be her ..., 
1088,Informative (Indirect),http://www.nytimes.com/interactive/2011/04/28/us/tornado-deaths.html?ref=us, 
1089,Personal only,Hey @OKStormwatcher Were worried about you Check in when you can #OK #TORNADO, 
1090,Personal only,@ryanvaughan originally from J'Town so coming home tomorrow.  u need a spotter in God's Country. #ARWX #tornado, 
1091,Personal only,Alabama and Missouri should play a football game call it the Tornado Bowl., 
1092,Informative (Direct or Indirect),Sooners be safe! #tornado, 
1093,Personal only,"My son just came in the house and said """"its tornadoing""""  Can you make tornado a verb?", 
1094,Informative (Indirect),Tornado Warning issued May 24 at 7:54PM CDT expiring May 24 at 8:45PM CDT by NWS Norman-Oklahoma City http://www... http://bit.ly/ijc0wA, 
1095,Informative (Direct or Indirect),Tornado on the ground near Russett OK. #okwx, 
1096,Informative (Indirect),Medical examiner: 4 dead in Oklahoma tornadoes: A broad tornado has blown through the Oklahoma City metropolitan area at the start of..., 
1097,Informative (Direct or Indirect),"That will make you think """"@KurganNazzir: Friend in Willard MO says she found a torn up x-ray in her yard today. #joplin""""", 
1098,Informative (Direct or Indirect),@SusanArredondo okay maybe I should be worried...tornado on the ground 30 miles from us #weatherjunkies, 
1099,Personal only,We are under a tornadoe watch. Stay safe friends in North Texas. // Tornado Warning now! You and the fam be safe., 
1100,Informative (Direct or Indirect),DENTON: Take shelter. Possible #tornado just to the west of where I-35W and I-35E meet. #txwx, 
1101,Informative (Direct),DONT FORGET TO BRING CANNED FOOD AND NONPERISHABLES TO SCHOOL THIS WEEK FOR TORNADO VICTIMS! #helpinghand #makeadifference, 
1102,Personal only,@w0ace just packed our tornado kit. It contains 2 bottles of @Miranda_Lambert wine. And a chainsaw., 
1103,Informative (Direct or Indirect),Under Tornado Watch Til 3am, 
1104,Informative (Direct or Indirect),At least 75 homes are completely destroyed just a few miles to our west/northwest.  My prayers are with all of those affected.  #okwx, 
1105,Informative (Direct or Indirect),Rapid rotation approaching Springtown now from the west.  A tornado may form at any moment. -sm, 
1106,Informative (Indirect),Okay CNN has brought Michael Brown former FEMA director on to discuss #Joplin response.  #insulting, 
1107,Other,Why is #Joplin not trending? Praying for survivors to be found yet tonight...More bad weather on the way...:(, 
1108,Personal only,@JennyMcCarthy Jenny Joplin MONTH has a large # of autistic kids who were displaced because of tornado any help u can give would be great, 
1109,Informative (Direct or Indirect),Tornado touches down in Oklahoma, 
1110,Informative (Indirect),Tornado Watch until 10:00 PM CDT Cancelled for Ellis & Rush Counties  http://bit.ly/btQnZB #KSwx #KSstorms, 
1111,Personal only,CNN RT @CBazzTheGreat: Where yall seeing this tornado shit at?, 
1112,Informative (Indirect),Three small children missing in a Oklahoma town. They got separated from their family as the tornado came through the town. #prayforthem, 
1113,Personal only,My thoughts and prayers are with the residents of Joplin Missouri who suffered such a devastating tornado., 
1114,Personal only,@rolandsmartin Lord protect Tornado valley, 
1115,Informative (Indirect),Deadly tornado kills 124 leaves 'twilight zone' in its wake - CNN.com: http://t.co/cSDLuf6 via @addthis, 
1116,Informative (Direct or Indirect),Circulation center (not necessarily tornado) will approach Sherman area within 15 - 20 mins., 
1117,Personal only,At olive garden wit some of the fam :) great place to be WEN its a tornado watch ;), 
1118,Informative (Direct or Indirect),Texas & Oklahoma tornado warning!, 
1119,Personal only,@AmandaSims @tonysteward I have yet to look at FB but I've checked Twitter several times for tornado updates., 
1120,Personal only,Outside with my dad chilln watching for the tornado, 
1121,Personal only,We have tornado shelters but tornados have @thedavidparrett shelters, 
1122,Personal only,Current conversation topics- Debris Ball and Down Draft #tornado #family, 
1123,Informative (Indirect),Just told we r all clear 4 another hour in #Tulsabut not over yet #tornado #oklahoma, 
1124,Personal only,Damn..all these tornado watches..#GodTrynaTellUsSomething!, 
1125,Informative (Direct or Indirect),As of right now no tornado threats for Tulsa. Severe thunderstorm definitely coming however., 
1126,Personal only,My son & d-i-l ... RT @Freedomwarrior @NOAA Alerting TULSA NOW!! #okwx #arwx #NWArkansas @14Kathi @Tori_Lennox @ttoelke @LaurieMasterson, 
1127,Informative (Direct or Indirect),Spring Valley Court in Azle is where the tornado moved through. Reports of garage and roof damage., 
1128,Personal only,Pls forgive the absence of messages last wk.  In addition to our reg. txt tonight l offer up a prayer for victims of tornado in Mo., 
1129,Informative (Direct),The #Joplin public library needs volunteers to help set up comps so ppl can use them 2 communicate. If you can help call 4176237953., 
1130,Personal only,Susan Chambers @Walmart: #Joplin store mgr studied which wall was safest and saved workers by gathering them there. ..., 
1131,Informative (Indirect),Possible #tornado on the ground S of Agnes #Texas. Springtown Texas ** SEEK SHELTER NOW! ** #TXWX Follow 4 updates., 
1132,Other,Cantor should be forced to fucking resign from congress for holding tornado aid hostage in way convict Tom DeLay even wou ..., 
1133,Personal only,So it is a tornado warning???? Hmph wheres my Mr. Teddy?! :(, 
1134,Informative (Indirect),Weather service issues #tornado watch for western Missouri extreme eastern Kansas http://on.cnn.com/k1ZN2b, 
1135,Other,Leave it to Fox to be in normal programming #okwx #americanidol, 
1136,Personal only,Be Safe #Oklahoma and #Kansas. Praying for you. #Tornado #Storm #Prayingforyou, 
1137,Informative (Direct or Indirect),Last biggest tornado the size of Joplin was in Flint MI 1953. Grew up hearing about it from my Grandma., 
1138,Personal only,Can someone in #Joplin tell me if my home is still standing please? 1725 Empire (Near Corner of 18th & Empire) - I still don't know   :-(, 
1139,Informative (Direct or Indirect),@ntdaily Warning. That is a Tornado WARNING! Watch has been in effect for a while., 
1140,Personal only,@AngelRome : Yep! Hanging out in Tornado Alley. #sofun, 
1141,Informative (Direct or Indirect),@local4news A Tornado is coming through Oklahoma City and I Don't mean the Dallas Mavericks their up 3 to 1!, 
1142,Informative (Indirect),Joplin MO tornado: At least 89 dead as twister cuts 4-mile swathe through Missouri town | Mail Online http://t.co/moUgHfj via @feedly, 
1143,Personal only,@charlies_aunt Usually because I know that the tornado isn't heading in my direction I know I am such a #She-ra aren't I?, 
1144,Informative (Direct or Indirect),A new tight circulation has developed near Justin in SW Denton County. A tornado could be imminent. Stay in shelter. -sm, 
1145,Informative (Indirect),Joplin Missouri where at least 124 died Sunday under #tornado watch http://on.cnn.com/k1ZN2b, 
1146,Personal only,Glad that SOME ONE is sticking up for the tornado victims..., 
1147,Other,@prayutiandy bencana angin tornado itu di amrik selatan. Jauh kan dr macca?, 
1148,Other,Que segun viene un tornado., 
1149,Personal only,"Crazy weather quote of the day II: Rick Mitchell """"That a is a hurricane-like tornado."""" (Hmm is it going past a road-like street?)", 
1150,Informative (Indirect),Tornado in Denton County TX now reported to be near Lantana. Warning info and radar: http://wxch.nl/laelgs, 
1151,Informative (Indirect),vickyvette: Important: @Redcross & #Joplin MO needs your help! Txt REDCROSS to 90999 to donate or online help at http://bit.ly/eZJDoJ  ..., 
1152,Personal only,please pray for the tornado victims.. PLEASE.., 
1153,Personal only,please pray for the tornado victims.. PLEASE.., 
1154,Informative (Direct or Indirect),VERY DANGEROUS SITUATION NOW! DALLAS AND TARRANT COUNTIES NOW UNDER TORNADO WARNINGS. THIS SAME STORM HAS PRODUCED... http://fb.me/zRvnVN5U, 
1155,Informative (Direct or Indirect),if you live in northern tarrant county stay alert. a tornado may be on the ground near azle. its moving east at 40mph., 
1156,Personal only,Tornado Warning Dis Sum BS...SMH!!!, 
1157,Informative (Direct),BREAKING NEWS: Tornado watch issued for Denton County http://bit.ly/j3YaE0, 
1158,Personal only,Just 'cause the Mavs put the Thunder under last night doesn't mean OKC needs to send a tornado our way....yeeeesh #chokelahoma, 
1159,Informative (Direct or Indirect),Three Year Old Child missing after Tornado Does @GOPLeader Eric Cantor have enough in the budget to help look for him?, 
1160,Informative (Direct),Please follow @DrumDepotOnline every follows is $1 toward #Joplin and @RedCross ! ... http://tmi.me/aBJly, 
1161,Informative (Indirect),Joplin Missouri where at least 124 died Sunday under #tornado watch http://on.cnn.com/k1ZN2b, 
1162,Informative (Direct or Indirect),NC too. RT @rolandsmartin: Man tornado/storm warnings go from Texas Oklahoma Kansas Missouri Nebraska an Colorado, 
1163,Informative (Direct),Seeejayy ruuunnnn! RT @Hxcj88 Tornado on the ground in my town. Wowza Burger., 
1164,Personal only,Cuddling Weather.....Unless A Tornado Smack Our Ass, 
1165,Informative (Direct or Indirect),Man tornado/storm warnings go from Texas Oklahoma Kansas Missouri Nebraska an Colorado, 
1166,Personal only,Cantor is holding tornado victims HOSTAGE to his #failed budget!  NO AID WITHOUT PASSING HIS PLAN #mizzou #joplin #GOP #teaparty, 
1167,Informative (Direct or Indirect),Tornado warning at Southlake!!!, 
1168,Personal only,Tornado Watch Party!!!!, 
1169,Informative (Indirect),It's good to see the support @Starbucks is giving my partners here in Joplin. #Joplin #tornado, 
1170,Personal only,Has Lou Dobbs blamed the tornado in Joplin on illegal immigration yet?, 
1171,Informative (Indirect),@AnthonyCumia listening to replay Tornado video sound made my hair stand up. Creepy, 
1172,Informative (Direct),@KimTurner25 @Jaceigh We are officially under a tornado watch until 3 AM, 
1173,Personal only,We need somebody amazing to bring us some joy after this tornado in Joplin Missouri. Could that amazing person be you? #asktaylor, 
1174,Informative (Direct),hope my aunts ok her apartnments was hit n the tornado in chickasha: http://yearbook.com/a/1b3xb6, 
1175,Personal only,@thepioneerwoman  Praying for those in Oklahoma. Please pray for us in MO. Raise your hand if you are ready for tornado season to be over!, 
1176,Informative (Indirect),Joplin Missouri where at least 124 died Sunday under #tornado watch http://on.cnn.com/k1ZN2b, 
1177,Informative (Direct),Good size thunder in Collin. Sky just got dark. #txwx, 
1178,Informative (Direct or Indirect),TORNADO WARNING [ Coal OK ] Expires: Tue May 24 21:30 EDT #SVRAlert, 
1179,Personal only,Speaking of #besafe ... Just got an email from a reader in the tornado path ..., 
1180,Informative (Direct or Indirect),Crap- Joplin is now under a tornado watch!, 
1181,Personal only,please pray for the tornado victims.. PLEASE.., 
1182,Informative (Direct),Tornado warning for N. Tarrant County TX (northern Fort Worth area).  Softball size hail possible too. Warning info: h ..., 
1183,Informative (Indirect),MSNBC's anchor and meteorologist said this is an unprecedented outbreak in the heart of Tornado Alley...and toss to Lawrence O'Donnell., 
1184,Personal only,Good week.. survived the rapture & the tornado #lookatmenow, 
1185,Informative (Direct or Indirect),Three Year Old Child missing after Tornado Does @GOPLeader Eric Cantor have enough in the budget to help look for him?, 
1186,Informative (Indirect),Hope everyone's safe in Oklahoma City. Another tornado. Very scary very sad., 
1187,Other,Le dicen la tornado jaja, 
1188,Informative (Indirect),@CheraKimiko tornado warning in Tulsa too?, 
1189,Informative (Direct or Indirect),Showing possible #tornado near Madill #Oklahoma. Storm has very strong rotation. Seek shelter ENE of this cell! #OKWX  ..., 
1190,Personal only,Where yall seeing this tornado shit at?&lt;&lt;&lt;It was on the Weather Channel, 
1191,Informative (Direct or Indirect),MAJOR storms and even more tornado's here in OKC., 
1192,Informative (Direct or Indirect),Recognise the signs of shock cold pale clammy skin confusion raised heartbeat and breathing #1stAid4 #okwx #Joplin, 
1193,Informative (Indirect),Context: The massive tornado that destroyed Greensburg KS only killed 11 people. 11. #Joplin, 
1194,Informative (Direct or Indirect),7:31 Bartlesville is now under a tornado warning, 
1195,Informative (Direct or Indirect),7:31 Bartlesville is now under a tornado warning, 
1196,Personal only,Well hell. Looks like we're right in the path of at least one #tornado. That kinda sucks., 
1197,Personal only,Freaking scared. #tornado????, 
1198,Personal only,Sorry folks but Jim Cantore's orgiastic storm coverage is a #fail. He's an ambulance chaser without the legitimacy.  #tornado #tcot #twc, 
1199,Personal only,The Gazette's Vortex or the multi-vortex tornado? Is this a coincidence?, 
1200,Informative (Indirect),Joplin is under another tornado watch. That's all MO does when it's warm. Please continue to pray for them!, 
1201,Informative (Direct or Indirect),Wait a new one or they changed the rating for Sundays tornado?  RT @lexipodolski Joplin updated.. rated an EF5.. wow., 
1202,Informative (Indirect),Thank you mid-Missouri! We just hit $110000 for Red Cross Joplin relief. Call 573 644 6440. #Joplin #Telethon, 
1203,Informative (Direct or Indirect),"this is crazy. it's a disaster with play-by-play. ""there's a barn gone"" of the tornado. live streaming continues http ...", 
1204,Personal only,Hell of a tornado.  Biblical proportions.  Maybe that was the End of Days preacher was predicting.  Practice cataclysm.  Maybe?  Plausible!, 
1205,Informative (Indirect),DTN USA: Two dead from Oklahoma tornado: OKLAHOMA CITY (Reuters) - Two people died when a tornado struck El Reno... http://bit.ly/mohQ9I, 
1206,Informative (Indirect),Just In: Storm Prediction Center issues tornado watch for western Missouri; extreme eastern Kansas until 3am CDT; includes city ..., 
1207,Informative (Direct or Indirect),Ranger fans getting moved out of the upper decks due to high winds and tornado warning., 
1208,Personal only,First person footage of the tornado. Soooooo scary, 
1209,Informative (Direct or Indirect),Tornado in Oklahoma keh?, 
1210,Informative (Direct or Indirect),@WxChris2011 Arlington Texas?!? #tornado, 
1211,Informative (Direct or Indirect),I guess it's time to get out my ruby slippers.  [Tornado Watch in effect for Wyandotte County #ksstorms], 
1212,Personal only,Tornado watch eh? ... Way to take away the focus off the Bulls game! #letsgobulls, 
1213,Personal only,Hail and sunshine. Perfect ingredients for a tornado... the hail melted fast, 
1214,Personal only,please pray for the tornado victims.. PLEASE.., 
1215,Informative (Indirect),Taylor Swift raises money for tornado victims http://fb.me/YroiRXx5, 
1216,Informative (Indirect),Watching @lawrence & they said Eric Cantor wants to block aid to #joplin. Is that true? Joplin needs all we can send., 
1217,Personal only,@JenniLoLo Eric Cantor says no aid for #joplin w/o budget cuts. I just googled it. That is a major #fail. I am disgusted by that., 
1218,Informative (Direct or Indirect),@mikeballin2011 I heard a damn tornado went through Lima and shit...are yall cool? this weather has been goin ham, 
1219,Informative (Direct or Indirect),Joplin is now under tornado watch. It can't happen again can it?, 
1220,Informative (Indirect),Storm center in Norman OK evacuated; workers take shelter as #tornado nears http://on.cnn.com/k1ZN2b, 
1221,Informative (Direct or Indirect),Possible tornado hit Pawhuska. A home was destroyed and many trees down about a mile from the airport., 
1222,Informative (Direct),Tornado watch for Caswell. Be safe!, 
1223,Informative (Direct),@colexxlynn Looking at the latest radar and all the tornado signatures have been downgraded. Yay!, 
1224,Informative (Direct or Indirect),@preety909 hey keep ur eyes to the sky again there's a tornado watch out for the Joplin area tell 3 a.m, 
1225,Informative (Direct or Indirect),Damaging wind threat coming into Tulsa OK #tornado #okwx, 
1226,Informative (Direct or Indirect),Meanwhile watching live coverage of Oklahoma tornado damage., 
1227,Informative (Indirect),Live Radar: Tornado Watch Until 10 PM | NBC Dallas-Fort Worth http://t.co/ZpQ8fqd via @nbcdfwweather, 
1228,Informative (Direct or Indirect),Glad I made to Emporia KS before the heavy rains and wind hit. Tornado watch until midnight., 
1229,Informative (Indirect),Just In: Storm Prediction Center issues tornado watch for western Missouri; extreme eastern Kansas until 3am CDT; includes city ..., 
1230,Personal only,UGGGGGGGGHHHHHH IM UNDER TORNADO WARNING UGGGGHHHHH, 
1231,Informative (Direct),Tornado's gone. House is safe. Power is out. #howdidpeoplesurvivewithoutelectricity, 
1232,Informative (Indirect),Just In: Storm Prediction Center issues tornado watch for western Missouri; extreme eastern Kansas until 3am CDT; includes city ..., 
1233,Informative (Indirect),AP just sent down a correction: 4 dead in #OKLAHOMA tornado., 
1234,Personal only,@ddlovato I tweet when my county is under a tornado warning/watch. #Brave Haha., 
1235,Informative (Direct),I live in Joplin Mo where the F5 tornado hit 122 dead  On ground for 6 miles. Destroyed hospital high school middle school down town., 
1236,Personal only,#Joplin theres is no way to describe this., 
1237,Informative (Direct),@liberalcrone So far so good. Did you see the Joplin twister was upgraded to EF5?! And they are under tornado watch again now!, 
1238,Informative (Direct or Indirect),Tarrant Country tornado Warning, 
1239,Personal only,tornado headed toward Denton?? I need a helmet., 
1240,Informative (Direct),Finalize your safety plan now. Make sure your phones are charged. Be prepared for power outages. #okwx, 
1241,Informative (Indirect),And disturbingly NEW tornado alert just been issued for #Joplin. We'll have all the latest news on @PiersTonight at 9 ..., 
1242,Informative (Direct or Indirect),@NateThaGr8t94 hey nate be safe man... super cell with a potential for tornado passing between denton and dallas on I-35 shortly, 
1243,Informative (Direct or Indirect),Don't forget 2 check Safe & Well site if U R still not able 2 connect with #Joplin https://safeandwell.communityos.o ..., 
1244,Informative (Direct or Indirect),#TORNADO WARNING FOR DALLAS, 
1245,Informative (Indirect),Cruel and unusual!!~&gt;RT @RepJackKimble: So proud of @gopleader Eric Cantor for standing tough on special interests like Tornado victims, 
1246,Informative (Direct or Indirect),Tornado watch coming for NWA/RV area within 1 hour. Storms look to be less isolated in our area than storms in SE OK. St ..., 
1247,Informative (Indirect),Just finally saw the heartbreaking clip of dad on CNN looking for his 16-year-old son missing since Sunday night's tornado. So devastating., 
1248,Informative (Direct or Indirect),3 small children missing in a Oklahoma town. They got separated from their family as the tornado came  ..., 
1249,Informative (Direct or Indirect),3 small children missing in a Oklahoma town. Got separated from their family as the tornado came throu ..., 
1250,Personal only,@andersoncooper Please please be safe! A report isn't worth ur safety nothing is. Praying for the safety of all the residents of #Joplin., 
1251,Informative (Direct),@Skyetk lol! I have been my own storm center here. Now Jaime's area is near a tornado watch. it is catching., 
1252,Informative (Direct or Indirect),3 small children missing in a Oklahoma town. They got separated from their family as the tornado came through the town., 
1253,Informative (Indirect),#Tornado reported 2 miles west of #Azle #Texas.  This is to the NW of #FtWorth. Radar warning info: http://t.co/xiUO5CW, 
1254,Informative (Direct or Indirect),Records show JoplinMo Disaster surpasses single deadliest tornado in US since 1953. Prayers out to everyone only a couple hours from me., 
1255,Informative (Direct or Indirect),Denton and Wise need to expect possible hail up to softball size with this tornadic storm as well. Move quickly. #txwx, 
1256,Informative (Direct or Indirect),Watching @lawrence & they said Eric Cantor wants to block aid to #joplin. Is that true? Joplin needs all we can send., 
1257,Informative (Indirect),Even if we avoid a tornado here in Tulsa I suspect we're in for some ridiculous hail. They're reporting softball sized hail right now..., 
1258,Informative (Direct),Important: @Redcross & #Joplin MO needs your help! Txt REDCROSS to 90999 to donate or online help at http://bit.ly/eZJ ..., 
1259,Personal only,Whoa!! Praying for OKC.. RT @marloalexndria: F5 tornadoes in Oklahoma City. :( I'll be happy when tornado season is over., 
1260,Other,@meiizt amusement park bukan pilihanku.takut mau naik wahana kaya tornadorollercoaster dll #shudders, 
1261,Informative (Direct or Indirect),KC is under a Tornado watch....Dwamn!, 
1262,Informative (Indirect),Turn to TXA 21 if you're in DFW. They have live tornado coverage. #txwx, 
1263,Informative (Indirect),Turn to TXA 21 if you're in DFW. They have live tornado coverage. #txwx, 
1264,Informative (Indirect),Spotters reporting a tornado near Azle.. http://bit.ly/Now9d, 
1265,Informative (Direct or Indirect),New tornado trying to develop 10 mi NE of Mineral Wells moving E at 40 mph. -sm, 
1266,Personal only,@blakeshelton Duck Tishomingo duck! #tornado, 
1267,Personal only,@BigMMike :) how it the weather your way aren't you on tornado watch?, 
1268,Personal only,Pizza the post tornado cigarette., 
1269,Informative (Indirect),Video: TV crew from KFOR captures huge tornado http://on.msnbc.com/kYImQG, 
1270,Personal only,Hey Eric Cantor end the Fucking wars and we can help the tornado victim you fucking cocksucking GOP Pig., 
1271,Personal only,@tepper yeah hopefully it's not a tornado again in Joplin. Which is sad to say I'd be relieved if it just ends up a severe storm., 
1272,Informative (Indirect),#KC tweeps: tornado watch until 3 am via #wdaf. Be careful tonight and stay safe., 
1273,Personal only,@m_callahan Am I the only one freaking out about this Tornado in our state?!?!?! D:, 
1274,Personal only,My sister and family is back home with possible hail damage but that is about it...very grateful! #OKC #tornado, 
1275,Informative (Direct or Indirect),Tornados in tornado alley., 
1276,Informative (Indirect),Weather service issues #tornado watch for western Missouri extreme eastern Kansas http://on.cnn.com/k1ZN2b, 
1277,Personal only,please pray for the tornado victims.. PLEASE.., 
1278,Informative (Direct or Indirect),SEEK SHELTER RT @NBCDFWWeather: Possible tornado approaching Keller Southlake and Colleyville., 
1279,Other,http://EspanaVIP.com Al menos 122 muertos y 750 heridos deja el tornado en Misuri segÃƒÂŒÃ‚Â¼n los ÃƒÂŒÃ‚Â¼ltimos datos: Was... http://yhoo.it/j45nU7, 
1280,Personal only,Whew. Pretty scary. Many families impacted. RT @JoyDonovan: Sooners be safe! #tornado, 
1281,Informative (Direct),Tornado in Oklahoma, 
1282,Informative (Direct or Indirect),Tornado that went through #Joplin has officially been rated as an EF5. That's the highest possible rating. Still 1500  ..., 
1283,Other,Muertes por tornado en Misuri se elevan a 122 http://t.co/vkrXwQZ, 
1284,Informative (Indirect),And now we have a Tornado watch in effect until 3 AM. Good thing I got that weather alert radio!, 
1285,Informative (Direct or Indirect),in Colgate area tornado storm moving in your area, 
1286,Personal only,@SarahBrownUK thank you! Can you let him come home early? His country needs him! #Joplin, 
1287,Informative (Direct or Indirect),Alright Tarrant Wise Parker Grayson Cooke and Denton are under a TORNADO WARNING. #tornado #txwx, 
1288,Informative (Direct or Indirect),@ddlovato Tornado Take Cover!, 
1289,Personal only,I can't peel my eyes away from the tornado coverage in Joplin and Oklahoma.  It's devastating.  Stop Mother Nature!, 
1290,Informative (Indirect),Large tornado churning through northwest Oklahoma City weather officials say http://on.cnn.com/k1ZN2b, 
1291,Informative (Indirect),Just in: Incredible new video footage of a large tornado near Oklahoma City OK - http://t.co/PveRHiM, 
1292,Informative (Direct or Indirect),Newcastle and Goldsby significant damage.  Tornado just crossed I40 near Shawnee.  New storm (cont) http://tl.gd/alv524, 
1293,Personal only,@KingXCII boi I don't have nobodys herpes go fall of a cliff or betta yet get hit by a tornado, 
1294,Personal only,Tornado warning I ain't worrying bout it I seen the worse Alreadii man s/o to new Orleans hurricane katrina survivors man ...5hundred4, 
1295,Personal only,Effin tornado sirens. Wth. The safest place in my house only fits like 3 ppl!, 
1296,Informative (Direct or Indirect),Tornado Warning has been cancelled for Rockingham County. Caswell County remains under warning until 915, 
1297,Informative (Indirect),http://twitvid.com/Y8VO6 - Tornado watch at #HARDCOREINDIE Studios., 
1298,Informative (Direct or Indirect),@packers_sweep12  We're under a tornado watch now until 3:00 am. All counties around KC metro., 
1299,Informative (Indirect),Prayers. RT @cnnbrk Joplin Missouri where at least 124 died Sunday under #tornado watch http://on.cnn.com/k1ZN2b, 
1300,Informative (Direct or Indirect),Circulation is tightening up in N Parker Co storm 13 mi WSW of Springtown moving ENE at 40. Tornado may form at any ..., 
1301,Informative (Indirect),#GuthriePublicSchools cancled for next 3 days - Via 9news. #okwx, 
1302,Personal only,I reallllllly don't like this little tornado stufff so please mother nature make it go away #imkindafreakingout, 
1303,Informative (Indirect),TORNADO WARNING [ Dallas TX ][ Tarrant TX ] Expires: Tue May 24 21:45 EDT #SVRAlert, 
1304,Informative (Indirect),@thepioneerwoman Looking at NOAA website and I see a tornado warning over your ranch on Osage County. Hope you guys are safe!, 
1305,Personal only,No not yet.RT @kugslite: @lexstaley is there a tornado there?, 
1306,Informative (Direct or Indirect),Everybody in Dallas find ya safe places. Tornado IS ON THE GROUND at 40 mph. Be safe., 
1307,Informative (Direct or Indirect),Tornado on the ground in Spring Town, 
1308,Personal only,Omg my mama just said she smell the tornado coming! But I'm coo coo 4 sipping wine n still studying. #funtimes, 
1309,Informative (Indirect),Watchin CNN this tornado shit crazy!, 
1310,Personal only,@NikkiDaVinci Shan!! Did that tornado affect u?!, 
1311,Informative (Direct),tornado sirens going off, 
