,instruction,tweet_no_rt,type_of_message
1312,"indicates the name of an information source providing extensive coverage (radio, tv, website, etc.)",Travel Alerts: Hurricane Sandy Travel Update. Monday Oct. 29 2012 Ã¤Ã³Ã± 6:00pm PDT Trafalgar is c... http://t.co/Pwl728RX @CruiseWithBruce,"Informative: information source with extensive coverage (radio, tv, website, etc.)"
1313,"indicates the name of an information source providing extensive coverage (radio, tv, website, etc.)",Travel Alerts: Hurricane Sandy Travel Update. Monday Oct. 29 2012 Ã¤Ã³Ã± 6:00pm PDT Trafalgar is c... http://t.co/Pwl728RX @CruiseWithBruce,"Informative: information source with extensive coverage (radio, tv, website, etc.)"
1314,"indicates the name of an information source providing extensive coverage (radio, tv, website, etc.)",Travel Alerts: Hurricane Sandy Travel Update. Monday Oct. 29 2012 Ã¤Ã³Ã± 6:00pm PDT Trafalgar is c... http://t.co/Pwl728RX @CruiseWithBruce,"Informative: information source with extensive coverage (radio, tv, website, etc.)"
1315,"indicates the name of an information source providing extensive coverage (radio, tv, website, etc.)",Travel Alerts: Hurricane Sandy Travel Update. Monday Oct. 29 2012 Ã¤Ã³Ã± 6:00pm PDT Trafalgar is c... http://t.co/Pwl728RX @CruiseWithBruce,"Informative: information source with extensive coverage (radio, tv, website, etc.)"
1316,"indicates the name of an information source providing extensive coverage (radio, tv, website, etc.)",Travel Alerts: Hurricane Sandy Travel Update. Monday Oct. 29 2012 Ã¤Ã³Ã± 6:00pm PDT Trafalgar is c... http://t.co/Pwl728RX @CruiseWithBruce,"Informative: information source with extensive coverage (radio, tv, website, etc.)"
1317,"indicates the name of an information source providing extensive coverage (radio, tv, website, etc.)",Tune in for latest on #crane collapse at 515pmET when I join @wolfblitzer in the @CNNSitRoom @CNN #sandy,"Informative: information source with extensive coverage (radio, tv, website, etc.)"
1318,"indicates the name of an information source providing extensive coverage (radio, tv, website, etc.)",Tune in for latest on #crane collapse at 515pmET when I join @wolfblitzer in the @CNNSitRoom @CNN #sandy,"Informative: information source with extensive coverage (radio, tv, website, etc.)"
1319,"indicates the name of an information source providing extensive coverage (radio, tv, website, etc.)",Tune in for latest on #crane collapse at 515pmET when I join @wolfblitzer in the @CNNSitRoom @CNN #sandy,"Informative: information source with extensive coverage (radio, tv, website, etc.)"
1320,"indicates the name of an information source providing extensive coverage (radio, tv, website, etc.)",Tune in for latest on #crane collapse at 515pmET when I join @wolfblitzer in the @CNNSitRoom @CNN #sandy,"Informative: information source with extensive coverage (radio, tv, website, etc.)"
1321,"indicates the name of an information source providing extensive coverage (radio, tv, website, etc.)",Tune in for latest on #crane collapse at 515pmET when I join @wolfblitzer in the @CNNSitRoom @CNN #sandy,"Informative: information source with extensive coverage (radio, tv, website, etc.)"
1322,names a celebrity or authority that reacts to the event or visits the area,"Bush's FEMA director Michael Brown criticizes Obama for responding to Sandy too ""quickly"" http://t.co/Bf1pZ67m #nottheonion",Informative: celebrities or authorities react to the event or visit the area
1323,names a celebrity or authority that reacts to the event or visits the area,"Bush's FEMA director Michael Brown criticizes Obama for responding to Sandy too ""quickly"" http://t.co/Bf1pZ67m #nottheonion",Informative: celebrities or authorities react to the event or visit the area
1324,names a celebrity or authority that reacts to the event or visits the area,"Bush's FEMA director Michael Brown criticizes Obama for responding to Sandy too ""quickly"" http://t.co/Bf1pZ67m #nottheonion",Informative: celebrities or authorities react to the event or visit the area
1325,names a celebrity or authority that reacts to the event or visits the area,"Bush's FEMA director Michael Brown criticizes Obama for responding to Sandy too ""quickly"" http://t.co/Bf1pZ67m #nottheonion",Informative: celebrities or authorities react to the event or visit the area
1326,warns about a potential hazard or advices what to do,VÃ­_a fb dont wait till is to late plz convince the elderly check the ill warn the rest this is #AtlanticCity #Sandy http://t.co/nLOUWrvD,Informative: caution or advice
1327,warns about a potential hazard or advices what to do,VÃ­_a fb dont wait till is to late plz convince the elderly check the ill warn the rest this is #AtlanticCity #Sandy http://t.co/nLOUWrvD,Informative: caution or advice
1328,warns about a potential hazard or advices what to do,VÃ­_a fb dont wait till is to late plz convince the elderly check the ill warn the rest this is #AtlanticCity #Sandy http://t.co/nLOUWrvD,Informative: caution or advice
1329,"names a structure, road, service, line, etc. that is not working or has been damaged",Sandy sputters over Pennsylvania: Millions are without power towns are sloshing in floodwaters mass transit is... http://t.co/B83wzaou,"Informative: damage (building, road, lines, etc.)"
1330,"names a structure, road, service, line, etc. that is not working or has been damaged",Sandy sputters over Pennsylvania: Millions are without power towns are sloshing in floodwaters mass transit is... http://t.co/B83wzaou,"Informative: damage (building, road, lines, etc.)"
1331,"names a structure, road, service, line, etc. that is not working or has been damaged",Sandy sputters over Pennsylvania: Millions are without power towns are sloshing in floodwaters mass transit is... http://t.co/B83wzaou,"Informative: damage (building, road, lines, etc.)"
1332,indicates what the contents of a photo/video are about,Holy shit... #sandy RT @RoseRambles Amazeballs pic of Sandy coming into NYC. #frankenstorm http://t.co/yltOP7sQ,Informative: other type of photos/videos (not in the above classes)
1333,indicates what the contents of a photo/video are about,Holy shit... #sandy RT @RoseRambles Amazeballs pic of Sandy coming into NYC. #frankenstorm http://t.co/yltOP7sQ,Informative: other type of photos/videos (not in the above classes)
1334,indicates what the contents of a photo/video are about,Holy shit... #sandy RT @RoseRambles Amazeballs pic of Sandy coming into NYC. #frankenstorm http://t.co/yltOP7sQ,Informative: other type of photos/videos (not in the above classes)
1335,indicates what the contents of a photo/video are about,Holy shit... #sandy RT @RoseRambles Amazeballs pic of Sandy coming into NYC. #frankenstorm http://t.co/yltOP7sQ,Informative: other type of photos/videos (not in the above classes)
1336,indicates what the contents of a photo/video are about,Holy shit... #sandy RT @RoseRambles Amazeballs pic of Sandy coming into NYC. #frankenstorm http://t.co/yltOP7sQ,Informative: other type of photos/videos (not in the above classes)
1337,indicates what the contents of a photo/video are about,Double Rainbow Shines in NYC After Superstorm Sandy: And after the storm a rainbow. A double rainbow actuall... http://t.co/50pLS5aZ,Informative: other type of photos/videos (not in the above classes)
1338,indicates what the contents of a photo/video are about,Double Rainbow Shines in NYC After Superstorm Sandy: And after the storm a rainbow. A double rainbow actuall... http://t.co/50pLS5aZ,Informative: other type of photos/videos (not in the above classes)
1339,indicates what the contents of a photo/video are about,Double Rainbow Shines in NYC After Superstorm Sandy: And after the storm a rainbow. A double rainbow actuall... http://t.co/50pLS5aZ,Informative: other type of photos/videos (not in the above classes)
1340,indicates what the contents of a photo/video are about,Double Rainbow Shines in NYC After Superstorm Sandy: And after the storm a rainbow. A double rainbow actuall... http://t.co/50pLS5aZ,Informative: other type of photos/videos (not in the above classes)
1341,indicates what the contents of a photo/video are about,Double Rainbow Shines in NYC After Superstorm Sandy: And after the storm a rainbow. A double rainbow actuall... http://t.co/50pLS5aZ,Informative: other type of photos/videos (not in the above classes)
1342,"names a structure, road, service, line, etc. that is not working or has been damaged",House off foundation due to storm surge on Row Carpenter Beach in Charlestown RI. #RIwx #stormsurge #sandy http://t.co/VUgTK7EZ,"Informative: damage (building, road, lines, etc.)"
1343,"names a structure, road, service, line, etc. that is not working or has been damaged",House off foundation due to storm surge on Row Carpenter Beach in Charlestown RI. #RIwx #stormsurge #sandy http://t.co/VUgTK7EZ,"Informative: damage (building, road, lines, etc.)"
1344,"names a structure, road, service, line, etc. that is not working or has been damaged",House off foundation due to storm surge on Row Carpenter Beach in Charlestown RI. #RIwx #stormsurge #sandy http://t.co/VUgTK7EZ,"Informative: damage (building, road, lines, etc.)"
1345,"names a structure, road, service, line, etc. that is not working or has been damaged",House off foundation due to storm surge on Row Carpenter Beach in Charlestown RI. #RIwx #stormsurge #sandy http://t.co/VUgTK7EZ,"Informative: damage (building, road, lines, etc.)"
1346,"names a structure, road, service, line, etc. that is not working or has been damaged",House off foundation due to storm surge on Row Carpenter Beach in Charlestown RI. #RIwx #stormsurge #sandy http://t.co/VUgTK7EZ,"Informative: damage (building, road, lines, etc.)"
1347,"names a structure, road, service, line, etc. that is not working or has been damaged",House off foundation due to storm surge on Row Carpenter Beach in Charlestown RI. #RIwx #stormsurge #sandy http://t.co/VUgTK7EZ,"Informative: damage (building, road, lines, etc.)"
1348,indicates what the contents of a photo/video are about,Sandy & NYC http://t.co/kpXTPRWP (RT @killermince) #frankenstorm @robynmcilwain @KateMcIlwain12 @clairemcilwain,Informative: other type of photos/videos (not in the above classes)
1349,indicates what the contents of a photo/video are about,Sandy & NYC http://t.co/kpXTPRWP (RT @killermince) #frankenstorm @robynmcilwain @KateMcIlwain12 @clairemcilwain,Informative: other type of photos/videos (not in the above classes)
1350,indicates what the contents of a photo/video are about,Sandy & NYC http://t.co/kpXTPRWP (RT @killermince) #frankenstorm @robynmcilwain @KateMcIlwain12 @clairemcilwain,Informative: other type of photos/videos (not in the above classes)
1351,indicates what the contents of a photo/video are about,Sandy & NYC http://t.co/kpXTPRWP (RT @killermince) #frankenstorm @robynmcilwain @KateMcIlwain12 @clairemcilwain,Informative: other type of photos/videos (not in the above classes)
1352,indicates what the contents of a photo/video are about,Latest image from New York before #sandy hits: http://t.co/E7P9zyfv &lt;Hahahahaha!,Informative: other type of photos/videos (not in the above classes)
1353,indicates what the contents of a photo/video are about,Latest image from New York before #sandy hits: http://t.co/E7P9zyfv &lt;Hahahahaha!,Informative: other type of photos/videos (not in the above classes)
1354,indicates what the contents of a photo/video are about,Latest image from New York before #sandy hits: http://t.co/E7P9zyfv &lt;Hahahahaha!,Informative: other type of photos/videos (not in the above classes)
1355,indicates what the contents of a photo/video are about,A time-lapse of the New York City sky during #Sandy. WATCH: http://t.co/0OX5cPzU /via @TheAtlantic @cubfancurt,Informative: other type of photos/videos (not in the above classes)
1356,indicates what the contents of a photo/video are about,A time-lapse of the New York City sky during #Sandy. WATCH: http://t.co/0OX5cPzU /via @TheAtlantic @cubfancurt,Informative: other type of photos/videos (not in the above classes)
1357,indicates what the contents of a photo/video are about,A time-lapse of the New York City sky during #Sandy. WATCH: http://t.co/0OX5cPzU /via @TheAtlantic @cubfancurt,Informative: other type of photos/videos (not in the above classes)
1358,indicates what the contents of a photo/video are about,A time-lapse of the New York City sky during #Sandy. WATCH: http://t.co/0OX5cPzU /via @TheAtlantic @cubfancurt,Informative: other type of photos/videos (not in the above classes)
1359,"indicates what (money, goods, work, free services, etc.) is being requested as a donation",Our most pressing need at this time is for volunteers at multiple locations. See http://t.co/JKN50gQl for details,"Informative: requests donations of money, goods, or free services"
1360,"indicates what (money, goods, work, free services, etc.) is being requested as a donation",Our most pressing need at this time is for volunteers at multiple locations. See http://t.co/JKN50gQl for details,"Informative: requests donations of money, goods, or free services"
1361,"indicates what (money, goods, work, free services, etc.) is being requested as a donation",Our most pressing need at this time is for volunteers at multiple locations. See http://t.co/JKN50gQl for details,"Informative: requests donations of money, goods, or free services"
1362,names a celebrity or authority that reacts to the event or visits the area,Late Night with Jimmy Fallon Hurricane Sandy Cold Open + Monologue: http://t.co/XhJF8bKx via @youtube LOL!!!!!!!,Informative: celebrities or authorities react to the event or visit the area
1363,names a celebrity or authority that reacts to the event or visits the area,Late Night with Jimmy Fallon Hurricane Sandy Cold Open + Monologue: http://t.co/XhJF8bKx via @youtube LOL!!!!!!!,Informative: celebrities or authorities react to the event or visit the area
1364,names a celebrity or authority that reacts to the event or visits the area,Late Night with Jimmy Fallon Hurricane Sandy Cold Open + Monologue: http://t.co/XhJF8bKx via @youtube LOL!!!!!!!,Informative: celebrities or authorities react to the event or visit the area
1365,"indicates what (money, goods, work, free services, etc.) is being requested as a donation",Red Cross tells us grateful for Romney donation but prefer people send money or donate blood dont collect goods NOT best way to help #Sandy,"Informative: requests donations of money, goods, or free services"
1366,"indicates what (money, goods, work, free services, etc.) is being requested as a donation",Red Cross tells us grateful for Romney donation but prefer people send money or donate blood dont collect goods NOT best way to help #Sandy,"Informative: requests donations of money, goods, or free services"
1367,"indicates what (money, goods, work, free services, etc.) is being requested as a donation",Red Cross tells us grateful for Romney donation but prefer people send money or donate blood dont collect goods NOT best way to help #Sandy,"Informative: requests donations of money, goods, or free services"
1368,indicates what the contents of a photo/video are about,Latest image from New York before #Sandy hits..... wait where is... Oh! http://t.co/lKdZxbQT,Informative: other type of photos/videos (not in the above classes)
1369,indicates what the contents of a photo/video are about,Latest image from New York before #Sandy hits..... wait where is... Oh! http://t.co/lKdZxbQT,Informative: other type of photos/videos (not in the above classes)
1370,indicates what the contents of a photo/video are about,Latest image from New York before #Sandy hits..... wait where is... Oh! http://t.co/lKdZxbQT,Informative: other type of photos/videos (not in the above classes)
1371,indicates what the contents of a photo/video are about,Latest image from New York before #Sandy hits..... wait where is... Oh! http://t.co/lKdZxbQT,Informative: other type of photos/videos (not in the above classes)
1372,indicates what the contents of a photo/video are about,Latest image from New York before #Sandy hits..... wait where is... Oh! http://t.co/lKdZxbQT,Informative: other type of photos/videos (not in the above classes)
1373,indicates what the contents of a photo/video are about,Latest image from New York before #Sandy hits..... wait where is... Oh! http://t.co/lKdZxbQT,Informative: other type of photos/videos (not in the above classes)
1374,"indicates the name of an information source providing extensive coverage (radio, tv, website, etc.)",MSNBCRidicules Romney 4 Collecting Food & Supplies 4 SandyVictims | http://t.co/dPhlhcGE http://t.co/4mmwGlTP more sheer nastiness from left,"Informative: information source with extensive coverage (radio, tv, website, etc.)"
1375,"indicates the name of an information source providing extensive coverage (radio, tv, website, etc.)",MSNBCRidicules Romney 4 Collecting Food & Supplies 4 SandyVictims | http://t.co/dPhlhcGE http://t.co/4mmwGlTP more sheer nastiness from left,"Informative: information source with extensive coverage (radio, tv, website, etc.)"
1376,"indicates the name of an information source providing extensive coverage (radio, tv, website, etc.)",MSNBCRidicules Romney 4 Collecting Food & Supplies 4 SandyVictims | http://t.co/dPhlhcGE http://t.co/4mmwGlTP more sheer nastiness from left,"Informative: information source with extensive coverage (radio, tv, website, etc.)"
1377,"names a structure, road, service, line, etc. that is not working or has been damaged","MTA: ""Worse than worst case"" RT @urbandata: All Seven NYC Subway Tunnels Are Flooded: @TransportNation http://t.co/dYXYy7cC #Sandy #transit","Informative: damage (building, road, lines, etc.)"
1378,"names a structure, road, service, line, etc. that is not working or has been damaged","MTA: ""Worse than worst case"" RT @urbandata: All Seven NYC Subway Tunnels Are Flooded: @TransportNation http://t.co/dYXYy7cC #Sandy #transit","Informative: damage (building, road, lines, etc.)"
1379,"names a structure, road, service, line, etc. that is not working or has been damaged","MTA: ""Worse than worst case"" RT @urbandata: All Seven NYC Subway Tunnels Are Flooded: @TransportNation http://t.co/dYXYy7cC #Sandy #transit","Informative: damage (building, road, lines, etc.)"
1380,"indicates what (money, goods, work, free services, etc.) is being requested as a donation",To help those affected by Hurricane Sandy: Text REDCROSS to 90999 to give $10 or visit http://t.co/7eaxdkMb,"Informative: requests donations of money, goods, or free services"
1381,"indicates what (money, goods, work, free services, etc.) is being requested as a donation",To help those affected by Hurricane Sandy: Text REDCROSS to 90999 to give $10 or visit http://t.co/7eaxdkMb,"Informative: requests donations of money, goods, or free services"
1382,"indicates what (money, goods, work, free services, etc.) is being requested as a donation",To help those affected by Hurricane Sandy: Text REDCROSS to 90999 to give $10 or visit http://t.co/7eaxdkMb,"Informative: requests donations of money, goods, or free services"
1383,"indicates what (money, goods, work, free services, etc.) is being offered as a donation","If you were impacted by Hurricane #Sandy let friends and family know you're ""safe & well"" by registering here: http://t.co/jkuLLjWj","Informative: offers/gives donations of money, goods, or free services"
1384,"indicates what (money, goods, work, free services, etc.) is being offered as a donation","If you were impacted by Hurricane #Sandy let friends and family know you're ""safe & well"" by registering here: http://t.co/jkuLLjWj","Informative: offers/gives donations of money, goods, or free services"
1385,"indicates what (money, goods, work, free services, etc.) is being offered as a donation","If you were impacted by Hurricane #Sandy let friends and family know you're ""safe & well"" by registering here: http://t.co/jkuLLjWj","Informative: offers/gives donations of money, goods, or free services"
1386,"indicates what (money, goods, work, free services, etc.) is being offered as a donation","If you were impacted by Hurricane #Sandy let friends and family know you're ""safe & well"" by registering here: http://t.co/jkuLLjWj","Informative: offers/gives donations of money, goods, or free services"
1387,"indicates what (money, goods, work, free services, etc.) is being offered as a donation","If you were impacted by Hurricane #Sandy let friends and family know you're ""safe & well"" by registering here: http://t.co/jkuLLjWj","Informative: offers/gives donations of money, goods, or free services"
1388,indicates what the contents of a photo/video are about,Really interesting guide of real vs. fake Hurricane Sandy Twitter photos from The Atlantic: http://t.co/yGBs2L9C,Informative: other type of photos/videos (not in the above classes)
1389,indicates what the contents of a photo/video are about,Really interesting guide of real vs. fake Hurricane Sandy Twitter photos from The Atlantic: http://t.co/yGBs2L9C,Informative: other type of photos/videos (not in the above classes)
1390,indicates what the contents of a photo/video are about,Really interesting guide of real vs. fake Hurricane Sandy Twitter photos from The Atlantic: http://t.co/yGBs2L9C,Informative: other type of photos/videos (not in the above classes)
1391,indicates what the contents of a photo/video are about,Really interesting guide of real vs. fake Hurricane Sandy Twitter photos from The Atlantic: http://t.co/yGBs2L9C,Informative: other type of photos/videos (not in the above classes)
1392,indicates what the contents of a photo/video are about,AMAZING PHOTO: Even a hurricane won't keep the honor guard from the Tomb of the Unknown Soldier this morning. #Sandy http://t.co/b015BHhw,Informative: other type of photos/videos (not in the above classes)
1393,indicates what the contents of a photo/video are about,AMAZING PHOTO: Even a hurricane won't keep the honor guard from the Tomb of the Unknown Soldier this morning. #Sandy http://t.co/b015BHhw,Informative: other type of photos/videos (not in the above classes)
1394,indicates what the contents of a photo/video are about,AMAZING PHOTO: Even a hurricane won't keep the honor guard from the Tomb of the Unknown Soldier this morning. #Sandy http://t.co/b015BHhw,Informative: other type of photos/videos (not in the above classes)
1395,"indicates what (money, goods, work, free services, etc.) is being requested as a donation",Everyone follow and retweet! Later I will show yall a way to donate $1 for those affected by the hurricane. God bless,"Informative: requests donations of money, goods, or free services"
1396,"indicates what (money, goods, work, free services, etc.) is being requested as a donation",Everyone follow and retweet! Later I will show yall a way to donate $1 for those affected by the hurricane. God bless,"Informative: requests donations of money, goods, or free services"
1397,"indicates what (money, goods, work, free services, etc.) is being requested as a donation",Everyone follow and retweet! Later I will show yall a way to donate $1 for those affected by the hurricane. God bless,"Informative: requests donations of money, goods, or free services"
1398,"indicates what (money, goods, work, free services, etc.) is being requested as a donation",How to help those affected by #Sandy - http://t.co/GkTAqpVG,"Informative: requests donations of money, goods, or free services"
1399,"indicates what (money, goods, work, free services, etc.) is being requested as a donation",How to help those affected by #Sandy - http://t.co/GkTAqpVG,"Informative: requests donations of money, goods, or free services"
1400,"indicates what (money, goods, work, free services, etc.) is being requested as a donation",How to help those affected by #Sandy - http://t.co/GkTAqpVG,"Informative: requests donations of money, goods, or free services"
1401,"names a structure, road, service, line, etc. that is not working or has been damaged",MTA: In 108 Years The NYC Subway System Has Never Faced A Disaster As Devastating As This | http://t.co/PXsA4MdU #Sandy,"Informative: damage (building, road, lines, etc.)"
1402,"names a structure, road, service, line, etc. that is not working or has been damaged",MTA: In 108 Years The NYC Subway System Has Never Faced A Disaster As Devastating As This | http://t.co/PXsA4MdU #Sandy,"Informative: damage (building, road, lines, etc.)"
1403,"names a structure, road, service, line, etc. that is not working or has been damaged",MTA: In 108 Years The NYC Subway System Has Never Faced A Disaster As Devastating As This | http://t.co/PXsA4MdU #Sandy,"Informative: damage (building, road, lines, etc.)"
1404,names a celebrity or authority that reacts to the event or visits the area,nickstudmuffin: Nick Jonas and Joe Jonas out in NYC after Sandy x http://t.co/Dl5i68Qx,Informative: celebrities or authorities react to the event or visit the area
1405,names a celebrity or authority that reacts to the event or visits the area,nickstudmuffin: Nick Jonas and Joe Jonas out in NYC after Sandy x http://t.co/Dl5i68Qx,Informative: celebrities or authorities react to the event or visit the area
1406,names a celebrity or authority that reacts to the event or visits the area,nickstudmuffin: Nick Jonas and Joe Jonas out in NYC after Sandy x http://t.co/Dl5i68Qx,Informative: celebrities or authorities react to the event or visit the area
1407,"names a structure, road, service, line, etc. that is not working or has been damaged",Fleeing East Village to take up camp at a friend's place in midtown. Insanity last night: explosions flooding uprooted trees.Yikes #Sandy,"Informative: damage (building, road, lines, etc.)"
1408,"names a structure, road, service, line, etc. that is not working or has been damaged",Fleeing East Village to take up camp at a friend's place in midtown. Insanity last night: explosions flooding uprooted trees.Yikes #Sandy,"Informative: damage (building, road, lines, etc.)"
1409,"names a structure, road, service, line, etc. that is not working or has been damaged",Fleeing East Village to take up camp at a friend's place in midtown. Insanity last night: explosions flooding uprooted trees.Yikes #Sandy,"Informative: damage (building, road, lines, etc.)"
1410,"indicates the name of an information source providing extensive coverage (radio, tv, website, etc.)",Apple Maps and Sandy - http://t.co/8bN2uRbi #9gagtweets,"Informative: information source with extensive coverage (radio, tv, website, etc.)"
1411,"indicates the name of an information source providing extensive coverage (radio, tv, website, etc.)",Apple Maps and Sandy - http://t.co/8bN2uRbi #9gagtweets,"Informative: information source with extensive coverage (radio, tv, website, etc.)"
1412,"indicates the name of an information source providing extensive coverage (radio, tv, website, etc.)",Apple Maps and Sandy - http://t.co/8bN2uRbi #9gagtweets,"Informative: information source with extensive coverage (radio, tv, website, etc.)"
1413,"indicates the name of an information source providing extensive coverage (radio, tv, website, etc.)",Apple Maps and Sandy - http://t.co/8bN2uRbi #9gagtweets,"Informative: information source with extensive coverage (radio, tv, website, etc.)"
1414,"indicates the name of an information source providing extensive coverage (radio, tv, website, etc.)",Apple Maps and Sandy - http://t.co/8bN2uRbi #9gagtweets,"Informative: information source with extensive coverage (radio, tv, website, etc.)"
1415,"indicates the name of an information source providing extensive coverage (radio, tv, website, etc.)",Apple Maps and Sandy - http://t.co/8bN2uRbi #9gagtweets,"Informative: information source with extensive coverage (radio, tv, website, etc.)"
1416,"indicates the name of an information source providing extensive coverage (radio, tv, website, etc.)",Apple Maps and Sandy - http://t.co/8bN2uRbi #9gagtweets,"Informative: information source with extensive coverage (radio, tv, website, etc.)"
1417,"indicates the name of an information source providing extensive coverage (radio, tv, website, etc.)",Apple Maps and Sandy - http://t.co/8bN2uRbi #9gagtweets,"Informative: information source with extensive coverage (radio, tv, website, etc.)"
1418,"indicates the name of an information source providing extensive coverage (radio, tv, website, etc.)",Apple Maps and Sandy - http://t.co/8bN2uRbi #9gagtweets,"Informative: information source with extensive coverage (radio, tv, website, etc.)"
1419,indicates who has (or how many people have) been injured or dead,Officials report a 2nd death in one of Staten Island's Hurricane Sandy evacuation zones | http://t.co/EWziSgaG http://t.co/tujdx0WK,Informative: casualties (people injured or dead)
1420,indicates who has (or how many people have) been injured or dead,Officials report a 2nd death in one of Staten Island's Hurricane Sandy evacuation zones | http://t.co/EWziSgaG http://t.co/tujdx0WK,Informative: casualties (people injured or dead)
1421,indicates who has (or how many people have) been injured or dead,Officials report a 2nd death in one of Staten Island's Hurricane Sandy evacuation zones | http://t.co/EWziSgaG http://t.co/tujdx0WK,Informative: casualties (people injured or dead)
1422,indicates who has (or how many people have) been injured or dead,Officials report a 2nd death in one of Staten Island's Hurricane Sandy evacuation zones | http://t.co/EWziSgaG http://t.co/tujdx0WK,Informative: casualties (people injured or dead)
1423,indicates who has (or how many people have) been injured or dead,Officials report a 2nd death in one of Staten Island's Hurricane Sandy evacuation zones | http://t.co/EWziSgaG http://t.co/tujdx0WK,Informative: casualties (people injured or dead)
1424,"indicates what (money, goods, work, free services, etc.) is being requested as a donation",How to contribute to #Sandy relief efforts http://t.co/pGukaVBD,"Informative: requests donations of money, goods, or free services"
1425,"indicates what (money, goods, work, free services, etc.) is being requested as a donation",How to contribute to #Sandy relief efforts http://t.co/pGukaVBD,"Informative: requests donations of money, goods, or free services"
1426,"indicates what (money, goods, work, free services, etc.) is being requested as a donation",How to contribute to #Sandy relief efforts http://t.co/pGukaVBD,"Informative: requests donations of money, goods, or free services"
1427,"names a structure, road, service, line, etc. that is not working or has been damaged",#News Sandy floods NYC subways http://t.co/ZMeQfUc8 #CNN,"Informative: damage (building, road, lines, etc.)"
1428,"names a structure, road, service, line, etc. that is not working or has been damaged",#News Sandy floods NYC subways http://t.co/ZMeQfUc8 #CNN,"Informative: damage (building, road, lines, etc.)"
1429,"names a structure, road, service, line, etc. that is not working or has been damaged",#News Sandy floods NYC subways http://t.co/ZMeQfUc8 #CNN,"Informative: damage (building, road, lines, etc.)"
1430,"names a structure, road, service, line, etc. that is not working or has been damaged",#News Sandy floods NYC subways http://t.co/ZMeQfUc8 #CNN,"Informative: damage (building, road, lines, etc.)"
1431,indicates what the contents of a photo/video are about,Lol #HurricaneSandy #flood http://t.co/yIiTNYLr,Informative: other type of photos/videos (not in the above classes)
1432,indicates what the contents of a photo/video are about,Lol #HurricaneSandy #flood http://t.co/yIiTNYLr,Informative: other type of photos/videos (not in the above classes)
1433,indicates what the contents of a photo/video are about,Lol #HurricaneSandy #flood http://t.co/yIiTNYLr,Informative: other type of photos/videos (not in the above classes)
1434,"indicates the name of an information source providing extensive coverage (radio, tv, website, etc.)",Sandy Bearing Down on East Coast. Destructive winds power outages flooding rainfall & dangerous storm surge expected http://t.co/etjGcRxd,"Informative: information source with extensive coverage (radio, tv, website, etc.)"
1435,"indicates the name of an information source providing extensive coverage (radio, tv, website, etc.)",Sandy Bearing Down on East Coast. Destructive winds power outages flooding rainfall & dangerous storm surge expected http://t.co/etjGcRxd,"Informative: information source with extensive coverage (radio, tv, website, etc.)"
1436,"indicates the name of an information source providing extensive coverage (radio, tv, website, etc.)",Sandy Bearing Down on East Coast. Destructive winds power outages flooding rainfall & dangerous storm surge expected http://t.co/etjGcRxd,"Informative: information source with extensive coverage (radio, tv, website, etc.)"
1437,"names a structure, road, service, line, etc. that is not working or has been damaged",Oh wow some of the pictures of Hurricane Sandy look like it's really bad. I hope everyone stays safe Ã¤Â»Â«,"Informative: damage (building, road, lines, etc.)"
1438,"names a structure, road, service, line, etc. that is not working or has been damaged",Oh wow some of the pictures of Hurricane Sandy look like it's really bad. I hope everyone stays safe Ã¤Â»Â«,"Informative: damage (building, road, lines, etc.)"
1439,"names a structure, road, service, line, etc. that is not working or has been damaged",Oh wow some of the pictures of Hurricane Sandy look like it's really bad. I hope everyone stays safe Ã¤Â»Â«,"Informative: damage (building, road, lines, etc.)"
1440,"names a structure, road, service, line, etc. that is not working or has been damaged",OhmygodohmygodohmygodRT @NBCNews: Tunnel flooding from #Sandy may drive subway rats onto NYC streets http://t.co/qVJs5Ph7,"Informative: damage (building, road, lines, etc.)"
1441,"names a structure, road, service, line, etc. that is not working or has been damaged",OhmygodohmygodohmygodRT @NBCNews: Tunnel flooding from #Sandy may drive subway rats onto NYC streets http://t.co/qVJs5Ph7,"Informative: damage (building, road, lines, etc.)"
1442,"names a structure, road, service, line, etc. that is not working or has been damaged",OhmygodohmygodohmygodRT @NBCNews: Tunnel flooding from #Sandy may drive subway rats onto NYC streets http://t.co/qVJs5Ph7,"Informative: damage (building, road, lines, etc.)"
1443,"names a structure, road, service, line, etc. that is not working or has been damaged",OhmygodohmygodohmygodRT @NBCNews: Tunnel flooding from #Sandy may drive subway rats onto NYC streets http://t.co/qVJs5Ph7,"Informative: damage (building, road, lines, etc.)"
1444,"names a structure, road, service, line, etc. that is not working or has been damaged",OhmygodohmygodohmygodRT @NBCNews: Tunnel flooding from #Sandy may drive subway rats onto NYC streets http://t.co/qVJs5Ph7,"Informative: damage (building, road, lines, etc.)"
1445,"names a structure, road, service, line, etc. that is not working or has been damaged",OhmygodohmygodohmygodRT @NBCNews: Tunnel flooding from #Sandy may drive subway rats onto NYC streets http://t.co/qVJs5Ph7,"Informative: damage (building, road, lines, etc.)"
1446,"names a structure, road, service, line, etc. that is not working or has been damaged",OhmygodohmygodohmygodRT @NBCNews: Tunnel flooding from #Sandy may drive subway rats onto NYC streets http://t.co/qVJs5Ph7,"Informative: damage (building, road, lines, etc.)"
