,the_author_of_the_tweet_seems_to_be_an_eye_witness_of_the_event,tweet_no_rt,user
1025,,Verizon says 6% of cell sites out in storm region; T-Mobile says 20% of network out in area. AT&T won't say. http://t.co/S6TR6pZC,Stevey2tymez
1026,,Transit 'disaster' in NYC - Hurricane Sandy's knockout blow left New York City with a massive clean-up and repair jo... http://t.co/lLipe4FW,yuliercadena
1027,,Trick or Treating happens on Saturday here. Just because Sandy from Spongebob got on her period and destroyed the east coast.,iBillyMassacre
1028,,Thoughts and prayers with those who went through hurricane Sandy. Damage unbelievable.,dvonfeldt
1029,True,BIG thanks to the FDNY NYPD MTA volunteers &everyone helping bring my city back together. NYers can make it through anything #NYC #Sandy,RxBethOnTheRun
1030,,Anyone impacted by #Sandy including homeowners renters and businesses should go to http://t.co/G7iJ1Ztw to register for assistance.,__Klio__
1031,,@Justiiin_e lmfao ill be flying with sandy,m1chie_
1032,,Rico almuerzo con las wachiturras!!! @Andichaud @milimilon @CUACK__ solo falto @ValeAvilesh que esta carreteando con #sandy,pazjauregui
1033,,El huracÃ­Ã§n Sandy llevÃ­_ un tiburÃ­_n hasta las calles de New Jersey. http://t.co/Oy4dWeMd,cristiann22_12
1034,True,Flooded @duane_reade south street seaport - what a mess :( #sandy #nyc http://t.co/6hA5ZAoj,KellBelleXoX
1035,True,@ElleRichieTime And I'd love to live in England! Haha. But living on the Outer Banks right now is a bit dangerous. Sandy isn't a fan.,herrmazp
1036,,HuracÃ­Ã§n Sandy #nyc #sandy #huracan #historic http://t.co/bqD8pqzc,wichotez
1037,,Here's how to make sure you don't get stuck with a flood damaged #car! http://t.co/kUj1oaWa #sandy,CarBuyingGuides
1038,,This is the end #2012 earth killed by hurricane sandy :(,_Surge
1039,,LOVE TO THE AMERICAN McFLYERS. STAY SAFE &lt;3 let's hope sandy disappears into the ocean no harm done,McFlyMetro
1040,,Ambassadors trapped at the U.N during Hurricane Sandy asked Obama for help and Obama denied them blaming a Flash Flood Mob. @danaperino,kmcshotoftheday
1041,,Puedes llegar Sandy! http://t.co/zpV7yQmO,MaGuzmanR
1042,,Massive Losses Likely From Hurricane Sandy - Morning Business Memo The multi-billion dollar insurance losses from Hu... http://t.co/y6ybEDdB,MoneyTalkNews
1043,,"@tevet Thanks Sal.Yes they talk a lot here in the news about """"Sandy"""". It is scary indeed to imagine to live in the skyscratchers! G night;o",paola_tn
1044,,Studio audience in place and ready for tonight's all-new #Sandy show with Denzel Washington & Paul Banks. http://t.co/1n9LTDYY,tomasjsantos
1045,True,We should get shirts saying I Survived Hurricane Sandy,TheJakeKelly
1046,,Don't fall for these 6 fake Hurricane #Sandy pics in your feeds http://t.co/UhgfPlCb,danielbusch
1047,,Good luck to everyone down in New York City. Just looked at some pictures and they got it bad from #sandy,louisd217
1048,,W storm gusts expected to be up to 80-85mph bridges in the NYC area are quickly becoming unsafe closures before 7pm #Sandy,janiejaner
1049,,Lets get weird. #sandy,sabrinaaaromano
1050,,"O """"Sandy"""" Â“Ã³Â“ÂÂ‘Ã‹Â‘_Â‘Ã¥Â‘Ã©Â‘ÂµÂ“Â€Â‘Âµ Â“Ã³Â‘Â±Â‘_Â“ÂŠÂ‘Ã©Â‘ÂµÂ‘ÂŸÂ“ÂÂ‘Â¿Â‘Â± Â“Â€Â“Â‹Â‘_Â“Â‰ Â‘Â„Â‘Ã¦Â‘Ã¯- 14Â‘_Â‘ÂµÂ‘_Â“ÂÂ‘Ã‹Â‘Â¿ - Â‘Â´Â‘_Â‘Â±Â“Â‹Â‘Ã‹Â‘_Â‘_Â“ÂÂ“ÂÂ‘_Â‘Â± Â“Â€Â“Â‹Â‘Ã‹ Â“Â€Â‘_Â‘Ã‹Â“Â‹Â‘Ã¥Â‘Ã‡Â‘_(Â‘_Â‘Â¿Â‘_Â“Â‹Â‘ÂµÂ‘Ã‹-Â‘_Â“ÂŠÂ‘_Â“Â‹Â‘Â±Â‘_Â‘Ã¥) http://t.co/wK2dxuSQ via @sigmalivecom",EvitaToutountzi
1051,,Just spoke to one of my gals in new york the storm is crazy Let's hope hurricane Sandy will just swurf by fast...,RodneyRichi
1052,,Re:Uragano Sandy news e aggiornamenti http://t.co/UlTPnUJQ,EclisseForum
1053,,#Ã¸Â«Ã¸_Ã¸ÂµÃ¸_Ã¸Â±Ã¸_Ã¸_Â™ÃŠÃ¸Â¿Â™_ Ã¸Ã‚Ã¸Â¿Ã¸_Â™_Ã¸Â© Â™Â‹Ã¸Â±Ã¸Ã‚Â™_Ã¸_ Ã¸Â£Â™ÂƒÃ¸Â±Â™_Â™Â€Â™_ #Ã¸_Ã¸ÂµÂ™_Â™Â‹Ã¸Â© Ã¸_Â¥Ã©_Ã¸_Ã¸ÂµÃ¸_Ã¸Â±29Â™Â‰Ã¸ÃˆÂ™_Â™Â‹ Â™Âš7.5Ã¸Â¿Â™ÂšÂ™ÃŠ Â™Â€Â™ÂˆÃ¸Â±Ã¸Ã‚Ã¸_Ã¸Ã§ #bahrain #hidd @Deertybhr #NYC #KSA #kuwait #sandy,LarrybeardLa
1054,,FEMA says to text tweet or post to Facebook instead of making phone calls during Hurricane Sandy. http://t.co/CWDzZYPS,Killa_Kcam
1055,,Thinking of everyone effected by #Sandy and hoping really hoping that all my friends in NYC are safe!!,KellyWoodss
1056,True,Fuck this my back lawn is filled with water and my pool is messed up fucking sandy has to also make evacuate my house,FourLimits
1057,,Hey FD PD EMTs Rescue Teams and all first responders: Thanks. #sandy,Kells_ATL
1058,,HURRICANE #Sandy MAKE THEM THIRSTY #NYC #frankenstorm http://t.co/NxHhrlLD,gclark254
1059,,Ã¤Ã³Ã¬@FrancisBoulle: What if Gangnam Style was actually a giant rain dance and we've brought this on ourselves? #sandyÃ¤Ã³Â This is actually funny,CLynch26
1060,,#Sandy has impacted the national @RedCross blood supply. Thousands of donors needed to help patients. http://t.co/YxtlYpYc,ARCBloodALGC
1061,True,Water levels still high #Sandy http://t.co/rMQTDjOp,Phoul
1062,,Ã­Ã³ New York cÃ¤Ã³Â»est #Sandy qui lave la ville; Ã­Ã¦ MontrÃ­Â©al ce sont les ingÃ­Â©nieurs.,Ownhe4d
1063,,Superstorm Sandy disinfo troll exposed NYC lawmaker looks to press charges http://t.co/jNxSbZcp,danielt3006
1064,,Dear everyone bitching bout being stuck inside their house: at least you're not homeless and have to be stuck outside with sandy #begreatful,callmecoventry
1065,,Tell me why my power is out again! I thought Sandy left already.,MyrenLoveTorres
1066,,Crane hanging precariously beside skyscraper in New York City as Hurricane #Sandy approaches - PICTURE http://t.co/MZRztyok,chloehayles1989
1067,,New Jersey mom gives birth in mobile shelter during Hurricane Sandy http://t.co/dKMpUsJL,ThoughtfulWoman
1068,,No Rat Exodus Reported From NYC Tunnels. They Probably All Drowned http://t.co/zSjG1UQA #sandy // Anyone seen @karlrove today?,onahunttoday
1069,,I know it's tough now New York but picture yourself next summer lying on a warm calm beach with nothing to remind you of Sandy,Nmartinez7
1070,,Thank you @bubbakoos !!!!! #sandy #sandynj power wifi and hot food. Photos coming soon @ Bubbakoo's Burritos http://t.co/zjcTKaiF,Bubbakoos
1071,,Thinking of everyone that is in the path of Hurricane Sandy...,TShumbambiri
1072,,Esta maÃ­Â±ana en Red Hook Brooklyn ya inundada y aÃ­_n no llega #Sandy! http://t.co/FS8ATWuO,lapham25
1073,,Sending hugs to all my friends and family and anyone dealing with Sandy! Please stop making videos and go inside! #StaySafe,__maybethistime
1074,,#Sarnia hydro worker killed repairing downed power line damaged by storm #Sandy near Lake Huron shoreline. Ministry of Labour investigating,flukewarn
1075,,#rt Wherever does this get? http://t.co/YX1NJmnQ,AdrianLogan13
1076,,To everyone wanting Sandy to cancel school sit down. I know school sucks but I like my power.,_somerbrook
1077,,#sandy http://t.co/sZJD9HyE,katiebresnahan
1078,,BREAKING: Crane Collapse in Midtown #NYC #hurricance #sandy http://t.co/BzPP4PPE,jeff_ross
1079,True,Badai Sandy: Wah 2 Makam Nyembul Akibat Badai: NEW YORK - Tak hanya mengakibatkan korban tewas dan kerugian mil... http://t.co/ycWw6935,aristaPS
1080,,Sandy got me out of 2 midterms but I'm kinda scared I'm gonna be stuck in a real life episode of Revolution. Not sure if this was worth it.,gee_race
1081,,ÂŒÂ¿\_(ÃœÂ€Â‹)_/ÂŒÂ¿ #sandy,simzita
1082,,@sandy has arrived!!!!!! http://t.co/C0sMIVHm,shortest
1083,,Tune into Entertainment Tonight at 7:30pm eastern I call in to give you all some updates & pics from #sandy,jessfernandezxo
1084,,Wow. Ã¤Ã³Ã¬@robdelaney: I wrote this for the NICU babies and for you: http://t.co/RsdJtdM3 Please share if you're so inclined.Ã¤Ã³Â,kennethson
1085,,Halloween is cancelled. Thanks a lot #Sandy,pendergast_tom
1086,,Shelter 'struggling' to house homeless kids http://t.co/uz3p3yxD,HLNTV
1087,True,Empire State Building :( #NYC #Sandy http://t.co/1Qz8rDQi,arnaudeuropa
1088,,Are some kids missing out on halloween in America due to #sandy ? @therealcamilleg,Oilean_Stritch
1089,,Yo sandy chill my nigga you win.. Game over. No smoke.,IEatSheCums_
1090,,#Sandy http://t.co/kgnnLnp9,courtneycarra
1091,,Nobody can go back and start a new beginning. but anyone can start today and make a new ending.,Melly_Sandy
1092,,"RT Ã¤Ã³Ã¬@LaryVitoriano: """"@UN: Another photo of UN Headquarters in NYC during Hurricane #Sandy on monday. http://t.co/55toUEtK""""@dreliziariojrÃ¤Ã³Â",dreliziariojr
1093,,39 dead in Hurricane Sandy... RIP &lt;3,laffingwithliam
1094,True,What a heroic picture. Our statue of Liberty standing strong as she faces Sandy. http://t.co/qn2KQYuc,AlejoMejia80
1095,,How do you feel seeing your city injured? Sky news reporter to NYC citizen. Jornos just love a drama don't they! #Sandy,PopBoylesen
1096,True,Personal watercraft in New York Harbor as Hurricane Sandy approaches NYC http://t.co/SREonVoW http://t.co/AQdhOr0G,KinderEric
1097,,Sandy's damage to Central Park: Superstorm Sandy tore through NYC's Central Park knocking down many trees. http://t.co/pkCLj7z7,CamWhoring
1098,,Everyone in the path of the hurricane should head to their second or third home to safety #Sandy #RomneyStormTips,KayannaXO
1099,,The fact that people are joking on hurricane sandy literally blows me...be thankful that it didn't hit here as hard as it did up north,MAARLLEYY
1100,,Why is everyone saying Sandy is from New York City? She is definitely from Texas,Jordann_5
1101,,Just to make it clear (and sorry for pre-programmed Tweets saying otherwise) - NO #BostonByFoot tours this evening! #Sandy,bostonbyfoot
1102,,Praying for the people in #hurricane #Sandy's path. #staysafe xx,Miss_k7
1103,,UPDATE: RT @NYCMayorsOffice: Mayor Bloomberg will update New Yorkers on #Sandy at 10 AM. Will be live on http://t.co/c9t6U0WW.,cateknuff
1104,True,fuck you hurricane sandy now i have to work a 24 hour shift..,RyyHanna
1105,,Thanks to @DanforthEast members for checking on parks and trees post #Sandy http://t.co/zwTJXgq5,DanforthVillage
1106,,Sandy ain't playing wit y'all!! #NECNSANDY,DeMarcusHussle
1107,,How to Help Post-Sandy http://t.co/GYXgKdJv via @dailycandy,GeorgieCakes
1108,,#BlogHer12 -ers you'll know where this is. RT @AlexJamesFitz: Bloomberg: All buildings near damaged crane on 57th st evacuated #nyc #sandy,alexandrawrote
1109,,Hurricane Sandy from Space http://t.co/LQflUgKr,FlashPurchase
1110,,Omg I'm so scared #Sandy hit up NYc and NJ and more states ... Aqui en el Bronx muchos vientos,ekadelrosario
1111,,Ã¤Ã³Ã¬@shelisrael: @GapingVoid's #sandy cartoon for NYC. First time I've smiled about this awful event. http://t.co/CmE8howuÃ¤Ã³Â,peterknox
1112,,People line up to charge their phones on Avenue A in Manhattan | http://t.co/Nmtu0uMD #Sandy,pakiemouse
1113,,Items @worldvision giving to #Sandy victims: food blankets flood cleanup kits. Their #NYC warehouse flooded. http://t.co/pIcK5XQW,Sillygirlzam
1114,,Latest on superstorm Sandy: http://t.co/RplawU71,bpsubp
1115,,The science behind Hurricane Sandy: a confluence of trouble http://t.co/kOtA6rx5 @latimes,KQEDscience
1116,,La transmisiÃ­_n del mensaje del alcalde Bloomberg comenzarÃ­Ã§ dentro de pocos minutos en http://t.co/IU1NLnes #Sandy,mikelmelcon
1117,,Crane Dangling Over West 57th Street http://t.co/azrv9zCa,momohutomo
1118,,Ã¤Ã³Ã¬@hurricannesandy: hurricane sandy... cheeks. #sandy #hurricanesandy http://t.co/sL6Sa4fNÃ¤Ã³Â @drahn5 @step_on_me_roan,Natalie_Shaft
1119,,"OH MY LANTA! Ã¤Ã³Ã¬@jpchan: MTA Video Release: Hurricane #Sandy South Ferry/Whitehall St Station Damage http://t.co/IWpLvjpn""""",Jeetopia
1120,,Red Cross phone bank on FOX6 for folks hit by #sandy. 414-586-2100; online at http://t.co/FDVlQuEv; text redcross to 90999 for $10 donation.,RedCrossBloodBH
1121,True,BREAKING NEWS: At least 39 dead millions without power in Sandy's aftermath http://t.co/yGeRzYjq,PoliticsNewsHQ
1122,,Hurricane Sandy? Try Hurricane Sharon after what Phil's done! #soapbanter,dannno5
1123,True,Blowin Trees You Can Call Me Sandy.. Llss,LivingForVonney
1124,,#Sandy en 20 fotografÃ­_as http://t.co/odOos7p7 #FB,jgiraldoa
1125,,Irony=dead...RT @AlterNet: Bush's FEMA Director Michael Brown Criticizes Obama for Responding to Sandy Too Quickly http://t.co/QgS7nH4R,SandraHelena39
1126,,Stay safe everyone. #Sandy,ProDeaWriter
1127,,#sandy Bring your pets inside! Do not keep animals outdoors!,dylanakent
1128,,"Mayor Bloomberg: ""Please use 311 for downed trees and flooding not 911."" #Sandy #NYC",Chelern03
1129,,Here's a satellite view of Hurricane #Sandy in the moonlight of early yesterday morning: http://t.co/BfgEeVXW,WineFlash
1130,,@TY_365: I'm About 16 inches Tall So If Sandy Drop 14 Inches Of Rain Im Fucked!!! Ctfucdfu !!!,_lemula
1131,,hurricane sandy could have taken a seat by the wayside though...,de_lande
1132,,Thinking of all in NYC #Sandy,Katieleawaters
1133,,Someone put Chris Christie in charge of NYC until this is over with. Bloomberg can monitor Red Cross meals for salt levels #Sandy,Drlipid
1134,,Love! RT @NewYorkPost: Rainbow over today's #NYC sky offers glimpse of hope after Hurricane #Sandy. http://t.co/JrO4dvgW via @isardasorensen,missgardner89
1135,,Hope our fans in the USA are keeping safe if you are anywhere near #sandy ... Sending all our love to you if you are caught up in it xx,leeysii
1136,,#Sandy #Update Our NYC data center didn't expect any further issues but it is not available again. We are waiting for the update.,omega8cc
1137,True,Great pic by @JohnMinchill Patient put into ambulance during evacuation at NYU last night http://t.co/I5MOuKFL via @in_focus #sandy,nsanseverino
1138,,@Slate: True fact: Mitt Romney's budget would require 34-53% cuts to #FEMA's budget: http://t.co/PCarIjSl #Sandy,SusannaMatte
1139,,Sandy ain't playing them games bra fuck you thought it was http://t.co/k5c6Czc5,ThatNiggaSlaw
1140,,How to Help Sandy Victims: If you can't personally provide shelter and supplies to those affected by superstorm... http://t.co/pSRasZdo,VacationBusines
1141,,Sandy Hits Coast Floods New York: Sandy carved a harrowing path of destruction through the East Coast promisin... http://t.co/CSQyOD1d,iAlvinJoBlog
1142,,#DisneyStarWars more powerful than #Sandy,MrZimriDiaz
1143,,Here Sandy comes... and she is the one at the end of the movie with the leather pants. She doesnt mess around. BE SAFE!,smilingforyuu
1144,,Expect a huge spike in the number of children named Sandy on the East Coast of the USA in about 9 months.,hannybun86
1145,,Prayers for the safety of all east coasters that could be affected by Sandy http://t.co/6GHl6QvC,Dead_Throne
1146,,[Mundo] FuracÃ­Â£o Sandy causa cancelamentos de voos e evacuaÃ­_Ã­Âµes nos EUA http://t.co/2iofCJ2b,CataLinkBR
1147,,#Sandy is twice as big as Hurricane Irene. #ABCWorldNews,sotsoy
1148,,#NYC | ALERT: Lower Manhattan is submerged #Sandy http://t.co/Dyb7k9LM,shaysabs
1149,,I wonder if its a coincidence elections are coming and #Sandy hurricane happening.. #haarp #CorruptPolitics #FuckObama #Revolution,BinaDaley
1150,,Hurricane Sandy significantly impacted so many people. If your home was damaged here are steps toward recovery https://t.co/zDwgj6IN,LifetimeBlog
1151,,MTA buses have left the depot and are on their way to start picking up passengers #sandy,mrsphicks
1152,True,#astoria #astoriapark #sandy #nyc http://t.co/7pL0cLTy,kim_wanders
1153,,After #sandy finally sun is coming out in NYC http://t.co/9yfOKxZJ,Leo_Himself
1154,,V.P. candidate Ryan attends a food drive in Wisconsin for victims of Hurricane Sandy. PO-35WE on BitCentral.,CNNNewsource
1155,,Geweldig! RT @ajhalls1: Latest image from New York before #sandy hits: http://t.co/PtsILcj5,AnnemiekMulder
1156,,"Incredible. Unbelievable.& freakishly scary. """"@MrMohindru: Hurricane Sandy #NYC http://t.co/lOhZnLRK""""",Sheisbecca_
1157,,How Much Will Hurricane Sandy Cost the U.S. Economy? - Derek Thompson - The Atlantic http://t.co/m2gsnlBD,sahagunfelipe
1158,,ÃœÂÃ±ÃœÂÂ¬ÃœÂ€ÂÃœÂ€ÃˆÃœÂ‰Â±ÃœÂ€_ÃœÂ€_ÃœÂ_ÃœÂ€Â†ÃœÂ€Â«ÃœÂ€_ÃœÂ‰ÂŸÃœÂ€Â£ÃœÂ€_ÃœÂ‰ÂŸÃœÂ€_ÃœÂÂ¬ÃŽ_Ã´ÂÂ»_ÃœÂÂ‚ÃœÂÂ©ÃœÂÃŠÃœÂÂ†ÂÂ¢Â‚ÃŽÂ¬_ÃœÂÃ«ÃœÂÂ‰ÃœÂ‰_ÃœÂ_ÃœÂ_ÃœÂ‰Ã±ÃœÂ‰ÂšÃœÂÃŠÃœÂÂ‚ÃœÃ³Â‰ÃœÃ³Ã³#NYC Â¥_Â€sandy,lovemj2010
1159,,Hurricane Sandy Aftermath: What Happens to the Birds? http://t.co/lkgvNvDB,MetalsRocker
1160,True,@TIME: Follow @TIME's Instagram for Hurricane #Sandy shots from photographers in the field | http://t.co/inAy1yoz,DARK_CITY
1161,,#teamfollowback The way the nightmare will i get free from this kind of? http://t.co/bvuFbCl9,AdelaMosley9
1162,,El huracan sandy a derrumbao la casa de #jerseyshore tiaaaa .....ke fuerteee .... Asko de huracan :( ya no hay mas temporada o ke?? Juumm :S,mari_brea
1163,,Never been in a hurricane before. Bring it #sandy #hurricane #dontblowaway http://t.co/PU4kq1fY,bergimusprime
1164,,Ã¤Ã³Ã¬@WendyCNCS: RT @redcross: One way to help: donate blood shortfall of almost 9000 units http://t.co/3Jlajxz3 #SandyÃ¤Ã³Â @NatlServiceKSMO,BrittanyBlinks
1165,,RT@BBCBreaking: Half-submerged cars near Goldman Sachs building in NYC after storm #Sandy - (photo credit: Davey Davis) http://t.co/7iV24AKp,GetLei_d
1166,,Hurricane sandy is hitting ny say hi to my cousins,jhon664
1167,,@StatueLibrtyNPS: @wynandsmit2 yep check out http://t.co/8tb0GPDG! Rough 126th birthday week for Lady Liberty #sandy #NYC,EarthCam
1168,,This photo puts hurricane #Sandy into perspective; it's huge -- http://t.co/6hkjc8uA,BlindBeggar
1169,,All Eyes On Sandy: The Craziest NYC Hurricane Images http://t.co/48XWBHQv via @refinery29,lotusnlotus
1170,,LAMBORGHINI SANDY YO CHICK SHE SO THIRSTY,frenshkyd
1171,,A year ago NY had a bad wet snowstorm...now Sandy! Is October our new storm month??,tonyrealestate
1172,,#sagittarius Now this will take us back in its history http://t.co/6ro6HEOg,LawandaRyan4
1173,,#Sandy #Alert #EASTCOAST: Sandy rips through the East Coast making it's way up to Canada.,SandyTracker
1174,,#NYC now from my window. Its gonna be a great beginning after #Sandy http://t.co/fNGgXd1r,amanfromsky
1175,,New article: Video: Sandy shuts down Stock Options markets (CBS News). http://t.co/GRpLqIX3,zoomspec
1176,,guarentee #Sandy just got dumped girls always go crazy when they get dumped....,BigBootyLa
1177,,More than 760000 Con Ed customers in NYC still without power http://t.co/AQJanWRZ,Zikcity
1178,,kimberlymufferiphotography: #williamsburg #brooklyn earlier today. East river coming in. #bridge #nyc #sandyÃ¤Ã³_ http://t.co/tXvjGyQC,coldisthesea
1179,,Goodmorning I just woke up but.. Fuck you Hurricane Sandy!,_xjaxxz
1180,,Headline @USATODAY: NYC tries to heal after deadly storm http://t.co/c6ee2lJN,ThatGuy_BMORE
1181,,Mijn vrouw is achtergebleven in NYC (ben zelf in Ohio) en maakte net deze bizarre foto. Laat kracht Sandy goed zien http://t.co/Cn2V3yuD,anjaboogaard
1182,,"#Amazing!""@MotivateAthlete: Tomb of the Unknown Soldier continues to stay guarded throughout #Hurricane #Sandy. http://t.co/wWNJ3u9N""",Elinhn25
1183,True,LIVE stream from Times Square in #NYC now on @vgtv via @EarthCam A new day rises after #Sandy #storm #hurricane http://t.co/5pXdAFpT,dave204
1184,,"RT ""@themattmaverick: Does anyone else hope #sandy took out the cast of #jerseyshore just so there can never be a reunion show??""",CassSorrow
1185,True,"Just went outside and yelled ""bring it Sandy!!"" I got soaked...",2ginge4u
1186,,Ã¤Ã³Ã¬@isardasorensen: Clearing blue skies over #NYC today on the heels of #Sandy. http://t.co/ThuA0WapÃ¤Ã³Â Lovely _Ã´Ã«Âš,JuuuuulieG
1187,,"A few NYC bookstores reopen after Hurricane Sandy but Powerhouse Arena has been ""devastated."" http://t.co/OVIjBKNq",MalnurturedSnay
1188,,STAFFORD: Wawa on Route 72 is closing now. The wind is really starting to pick up. #Sandy #frankenstorm #lbisandy,LBINow
1189,,Our thoughts are with everyone affected by Hurricane Sandy. Please check here for updated information & travel policy: http://t.co/WO9x0Lzu,bankofkev
1190,,"LMAO! """"@koye10: Afi ripples. RT @Channels_TV: Ripples of Hurricane Sandy may hit Lagos Ã¤Ã³Ã± Commissioner http://t.co/NqP67QF1""""",orlamethey
1191,,A time-lapse of the NYC skyline during hurricane #Sandy. http://t.co/1CuHPylH,kaydenh
1192,True,RT @AP: AP Photo: A rainbow forms over Breezy Point in the NYC borough of Queens in the aftermath of superstorm #Sandy: http://t.co/zM5JCyUB -RAS,Glendapetmode
1193,True,Two days off from school time to catch up on some sleep hope everyone stays safe during Sandy,xThePrettyOnex
1194,,No se pierdan el gran artÃ­_culo de @TanausuFM sobre el huracÃ­Ã§n 'Sandy': http://t.co/2Hbyw0FA ÂŒÃ§Este chico lo vale!,Edwindolores
1195,True,Clearing blue skies over #NYC today on the heels of #Sandy. http://t.co/mva13zlQ,adhameltantawy
1196,,ok sandy you've proved your point congrats now pls go away http://t.co/syiYzZV1,_L1TERALLY
1197,,Street turned into river by floodwater during storm #Sandy in NYC - PHOTO (credit: Greg McHale of http://t.co/ojiSuO2A) http://t.co/qZXx2D8i,ginab7
1198,,This is the explosion that blacked out lower Manhattan -- WATCH: http://t.co/h2GabvEu #Sandy via @BloombergNews,Tuckertown
1199,,People walking out of my life? I'm use to that.,Melly_Sandy
1200,,Shares rise as Sandy hits offshore markets - The New Zealand sharemarket was up slightly in early trading as interna... http://t.co/F3nIjlMN,NZ_Startups
1201,,In all of the excitement please don't forget about #Sandy victims. Donate money donate blood: http://t.co/mTKHmUAr,YayaHan
1202,,As a Katrina survivor I can tell Gov Romney that these people don't need old cans of beans. They need sheetrock and drywall. #Sandy,AJVillali
1203,,Selena envia mensagem aos afetados pelo furacÃ­Â£o Sandy http://t.co/VtcoEx8g,SELOVETICS
1204,,Obama Camp Asks People To Do Election Phone Banks While Hurricane Sandy Hits - Obama Campaign 2012 - Fox Nation http://t.co/d6kOxGGR,Faith4Mishel
1205,,Atmospheric pressure in Manhattan has bottomed at 964mb. #Sandy will not break the all time NYC pressure record (961mb) set in 1914.,Pink_Prez
1206,,PLEASE NOTE: *Do not* tweet emergency calls. Please call 911. If it is not an emergency please call 311. #NYC #Sandy,NGoSiSi
1207,,My thoughts are with those affected by Hurricane Sandy- Downed Tree in Sunnyside Queens #sandy #ny1sandy #nyc http://t.co/OkX0RwOg,marmadrid3
1208,,"Ã¤Ã³Ã¬@SandysHurricane:DIS BITCH WAS LIKE ""I'M DYING AT HURRICANE SANDY TWEETS"" AND I'M LIKE YOU ABOUT TO BE DYIN IN REAL LIFE HOEÃ¤Ã³Â @diceapproved",BrittLeeAnn07
1209,,El HuracÃ­Ã§n #Sandy arrastra dos tiburones hasta el Metro de Nueva York. #acojonante http://t.co/eJ7RrGteÃ¤Ã³Â,pazmiranda7
1210,,Before Sandy takes me out let me retweet a few more Paanch Adhyay tweets... Kya pata kal ho naa ho...,beingindrani
1211,,Ã¤Ã³Ã¬@RevistaSemana: Se estima que 35.000 personas queden sin electricidad en Nueva Jersey por el paso del huracÃ­Ã§n #SandyÃ¤Ã³Â @svelezd,Wilsonvelez5
1212,,Les enfants americains ne peuvent plus jouÃ­Â© aux #Sandy-mÃ­Ã‚tre haie. Les pauvres..,Dorian_Marrant
1213,,New @newsbusters MSNBC Ridicules Romney for Collecting Food and Supplies for Sandy Victims http://t.co/AXIH14Kr,JMOKC
1214,,For every RT this gets @slaterorg will donate $25 to the @redcross to help victims of hurricane Sandy! @twitter,mandi_spivey
1215,True,Incredible scenes and a response to match @NYCMayorsOffice - amazing work by #NYC first responders #Sandy,NARU_org
1216,,Wood #brooklyn #nyc #sandy http://t.co/8agNBqFA,TerryMatlin
1217,,Excited that @realDonaldTrump has decided to donate $5 million to Sandy clean-up efforts no-strings. I think everyone should thank him.,doctorbala
1218,,Bloomberg: NYC has 76 shelters open will remain open until people are rehoused. East River bridges open. #Sandy,AdamWelz
1219,,How to fix that crane... #sandy NYC,AL1PM
1220,,can anyone help this reporter get from Boston to NYC tomorrow? http://t.co/alk9C3Qn #sandy,azipaybarah
1221,,We've gone from Obama to No-Bama. The Presidential visit to UA tomorrow has been cancelled due to Hurricane Sandy.,BulgerHallUA
1222,,I swear to God if Hurricane Sandy kills Pierce The Veil I'll cry for the rest of my life.,ToniBarakat
1223,,Asu quisco sin diarios en ny @eduardosuarez: Una foto bien triste. El quiosco sin prensa del dÃ­_a. #nyc #sandy http://t.co/4rIu0LYi,hshperu
1224,,last night RT Ã¤Ã³Ã¬@JustinKing224 the only building with power in #NYC right now is the Empire State Building. #Sandy http://t.co/RlGmpYDVÃ¤Ã³Â,Loz_Sinclair97
1225,,Muchos d los 670 mil residentes de NYC q quedaron sin electricidad por la #Sandy tendran que esperar hasta 1 semana para recuperar energÃ­_a,mix1079rd
1226,,#FireIsland: 80% of homes facing the ocean were damaged and a dozen were either destroyed or washed out to sea. http://t.co/7Vyu6BTA #Sandy,candiceruud
1227,,[NewSci] Slow-moving hurricanes such as Sandy on the rise: Sandy will linger for days over the US east coast. Cl... http://t.co/QUTJiwOu,TwtFeeds
1228,,If youÃ¤Ã³Â»d like to help with the #Sandy recovery whatÃ¤Ã³Â»s needed most is money blood and volunteer labor: http://t.co/Lk3VsK81,ddelaperriere
1229,,Humanity dismantling Earth's climate & ecosystems for brief unjust inequitable and unsustainable growth followed by collapse #Sandy,EI_Climate
1230,,For the first time in 39 years the Halloween Parade in NYC is CANCELLED. #Sandy,N12jamiestuart
1231,,Snooki is a lot like hurricane sandy.They're both headed to the jersey shore with intentions to blow everyone within a 50mile radius@snooki,muzzaconda
1232,,As I go to bed I hope the citizens of NYC and the entire East Coast of USA are kept safe with Sandy approaching. Night everyone #StaySafe,Savage_No4
1233,,Obama: Krisis Belum Berlalu: Presiden AS Barack Obama menegaskan krisis terkait bencana badai Sandy belum sepe... http://t.co/9hyCjhTt,faridahanum_a
1234,,WHOA here's a video from East Village NYC. Totally flooded: http://t.co/1GL09F4t #Sandy,MNYCx
1235,,I'm just trying to watch Jerry Springer but Sandy is taking over the TV...,jenndionisio
1236,,lol at the things ppl are tweeting about #Sandy RT~&gt; @Forbes: Here's where to track Hurricane Sandy online http://t.co/ctRqnJChÃ¤Ã³Â,ohctshirts
1237,,Addicted to #CNN for #Sandy info. Sad to see desolation of happy NYC memories,david162630
